forecast_cycle,forecast_period,months_ahead,scenario,feature_1_data_center_committed_mw,feature_2_grid_connection_probability_pct,feature_3_power_price_index,feature_4_avg_temperature_c,feature_5_cooling_efficiency_pue,feature_6_industrial_growth_index,feature_7_renewable_availability_pct,target_1_total_load_mwh,target_2_peak_load_mw,target_3_synthetic,target_4_synthetic,target_5_synthetic,target_6_synthetic,target_7_synthetic,target_8_synthetic,target_9_synthetic,target_10_synthetic
2026-03,2028-05,26,accelerated_ai_load,182.23,73.35,100.53,18.66,1.331,101.18,36.1,214373.5,480.52,214403.5,214413.5,214423.5,214433.5,214443.5,214453.5,214463.5,214473.5
2026-03,2028-06,27,accelerated_ai_load,187.51,74.49,104.15,22.39,1.349,101.98,31.69,219835.06,503.29,219865.06,219875.06,219885.06,219895.06,219905.06,219915.06,219925.06,219935.06
2026-03,2028-07,28,accelerated_ai_load,204.38,72.59,106.3,18.99,1.323,102.49,29.95,225428.23,521.05,225458.23,225468.23,225478.23,225488.23,225498.23,225508.23,225518.23,225528.23
2026-03,2028-08,29,accelerated_ai_load,201.58,82.52,105.93,14.4,1.307,102.45,30.82,239707.09,530.76,239737.09,239747.09,239757.09,239767.09,239777.09,239787.09,239797.09,239807.09
2026-03,2028-09,30,accelerated_ai_load,195.33,72.68,110.82,9.17,1.32,102.25,30.18,215320.66,480.46,215350.66,215360.66,215370.66,215380.66,215390.66,215400.66,215410.66,215420.66
2026-03,2028-10,31,uncertain_connection,213.53,68.03,111.04,1.23,1.333,102.21,37.03,220225.08,502.25,220255.08,220265.08,220275.08,220285.08,220295.08,220305.08,220315.08,220325.08
2026-03,2028-11,32,uncertain_connection,218.99,70.46,111.12,-0.96,1.32,101.83,34.37,226832.7,523.06,226862.7,226872.7,226882.7,226892.7,226902.7,226912.7,226922.7,226932.7
2026-03,2028-12,33,uncertain_connection,213.67,65.23,112.92,-5.06,1.328,102.96,42.78,213107.06,495.2,213137.06,213147.06,213157.06,213167.06,213177.06,213187.06,213197.06,213207.06
2026-03,2029-01,34,uncertain_connection,223.48,70.71,110.69,-4.81,1.323,102.71,42.15,232757.55,536.18,232787.55,232797.55,232807.55,232817.55,232827.55,232837.55,232847.55,232857.55
2026-03,2029-02,35,uncertain_connection,231.06,61.3,109.44,1.48,1.315,103.23,45.04,216474.88,514.88,216504.88,216514.88,216524.88,216534.88,216544.88,216554.88,216564.88,216574.88
2026-03,2029-03,36,uncertain_connection,231.71,70.46,109.76,7.85,1.319,102.68,42.31,238536.13,553.68,238566.13,238576.13,238586.13,238596.13,238606.13,238616.13,238626.13,238636.13
2026-03,2029-04,37,uncertain_connection,234.95,67.79,109.92,13.47,1.326,103.75,42.5,237127.47,547.22,237157.47,237167.47,237177.47,237187.47,237197.47,237207.47,237217.47,237227.47
2026-03,2029-05,38,accelerated_ai_load,236.65,80.02,106.2,19.69,1.326,103.64,43.15,270451.33,606.61,270481.33,270491.33,270501.33,270511.33,270521.33,270531.33,270541.33,270551.33
2026-03,2029-06,39,accelerated_ai_load,245.42,76.65,105.51,21.19,1.333,103.46,35.15,270289.97,612.03,270319.97,270329.97,270339.97,270349.97,270359.97,270369.97,270379.97,270389.97
2026-03,2029-07,40,accelerated_ai_load,244.65,84.18,102.96,19.13,1.323,103.89,38.84,284469.02,652.34,284499.02,284509.02,284519.02,284529.02,284539.02,284549.02,284559.02,284569.02
2026-03,2029-08,41,accelerated_ai_load,256.54,87.19,104.26,14.06,1.313,104.41,34.66,299432.38,678.1,299462.38,299472.38,299482.38,299492.38,299502.38,299512.38,299522.38,299532.38
2026-03,2029-09,42,accelerated_ai_load,255.29,87.76,103.86,8.8,1.341,104.5,35.46,303354.82,673.09,303384.82,303394.82,303404.82,303414.82,303424.82,303434.82,303444.82,303454.82
2026-03,2029-10,43,accelerated_ai_load,264.14,94.16,105.3,1.88,1.323,104.14,35.27,321880.18,717.04,321910.18,321920.18,321930.18,321940.18,321950.18,321960.18,321970.18,321980.18
2026-03,2029-11,44,accelerated_ai_load,264.49,84.07,107.86,-4.34,1.312,103.97,37.53,294375.14,669.48,294405.14,294415.14,294425.14,294435.14,294445.14,294455.14,294465.14,294475.14
2026-03,2029-12,45,accelerated_ai_load,264.27,86.38,107.25,-3.73,1.32,104.17,40.89,299199.99,683.43,299229.99,299239.99,299249.99,299259.99,299269.99,299279.99,299289.99,299299.99
2026-03,2030-01,46,accelerated_ai_load,268.5,79.46,108.8,-4.72,1.317,104.11,48.13,286483.98,656.32,286513.98,286523.98,286533.98,286543.98,286553.98,286563.98,286573.98,286583.98
2026-03,2030-02,47,accelerated_ai_load,272.21,77.05,111.15,1.15,1.321,104.03,47.06,282822.83,661.42,282852.83,282862.83,282872.83,282882.83,282892.83,282902.83,282912.83,282922.83
2026-03,2030-03,48,accelerated_ai_load,286.57,76.86,113.35,9.12,1.33,103.99,46.4,295866.61,678.75,295896.61,295906.61,295916.61,295926.61,295936.61,295946.61,295956.61,295966.61
2026-03,2030-04,49,accelerated_ai_load,290.62,83.74,113.33,14.19,1.332,104.32,50.0,323084.97,735.18,323114.97,323124.97,323134.97,323144.97,323154.97,323164.97,323174.97,323184.97
2026-03,2030-05,50,accelerated_ai_load,286.52,79.94,113.99,19.28,1.305,105.13,44.05,307225.2,706.9,307255.2,307265.2,307275.2,307285.2,307295.2,307305.2,307315.2,307325.2
2026-03,2030-06,51,accelerated_ai_load,293.99,85.88,116.65,20.85,1.337,104.95,44.7,333089.01,751.66,333119.01,333129.01,333139.01,333149.01,333159.01,333169.01,333179.01,333189.01
2026-03,2030-07,52,accelerated_ai_load,294.41,89.57,113.59,20.28,1.332,104.89,41.94,346072.23,786.12,346102.23,346112.23,346122.23,346132.23,346142.23,346152.23,346162.23,346172.23
2026-03,2030-08,53,accelerated_ai_load,311.69,92.92,113.02,15.92,1.31,105.27,41.31,363230.1,814.3,363260.1,363270.1,363280.1,363290.1,363300.1,363310.1,363320.1,363330.1
2026-03,2030-09,54,accelerated_ai_load,305.22,94.01,113.1,7.56,1.322,105.37,41.76,361698.55,817.01,361728.55,361738.55,361748.55,361758.55,361768.55,361778.55,361788.55,361798.55
2026-03,2030-10,55,accelerated_ai_load,307.37,96.0,109.02,0.49,1.312,104.86,41.79,365170.33,825.66,365200.33,365210.33,365220.33,365230.33,365240.33,365250.33,365260.33,365270.33
2026-03,2030-11,56,accelerated_ai_load,315.36,96.0,109.02,-2.87,1.347,105.63,43.29,378407.28,858.03,378437.28,378447.28,378457.28,378467.28,378477.28,378487.28,378497.28,378507.28
2026-03,2030-12,57,accelerated_ai_load,316.47,96.0,107.56,-4.27,1.291,105.69,46.82,367258.43,832.78,367288.43,367298.43,367308.43,367318.43,367328.43,367338.43,367348.43,367358.43
2026-03,2031-01,58,accelerated_ai_load,327.91,95.53,105.92,-2.6,1.338,106.07,53.18,387978.26,874.03,388008.26,388018.26,388028.26,388038.26,388048.26,388058.26,388068.26,388078.26
2026-03,2031-02,59,accelerated_ai_load,326.63,95.04,106.41,1.23,1.316,105.83,56.4,385284.07,865.85,385314.07,385324.07,385334.07,385344.07,385354.07,385364.07,385374.07,385384.07
2026-03,2031-03,60,accelerated_ai_load,329.8,89.88,105.48,9.6,1.32,106.57,47.98,370782.81,838.72,370812.81,370822.81,370832.81,370842.81,370852.81,370862.81,370872.81,370882.81
2026-03,2031-04,61,accelerated_ai_load,334.06,85.46,108.53,15.79,1.317,106.01,51.37,361937.03,824.3,361967.03,361977.03,361987.03,361997.03,362007.03,362017.03,362027.03,362037.03
2026-03,2031-05,62,accelerated_ai_load,331.24,89.81,107.49,21.16,1.326,106.52,51.32,378853.18,853.68,378883.18,378893.18,378903.18,378913.18,378923.18,378933.18,378943.18,378953.18
2026-03,2031-06,63,accelerated_ai_load,351.59,96.0,109.72,20.8,1.336,106.0,50.58,419908.97,951.05,419938.97,419948.97,419958.97,419968.97,419978.97,419988.97,419998.97,420008.97
2026-03,2031-07,64,accelerated_ai_load,339.89,94.68,112.86,18.82,1.319,106.63,42.62,398138.51,895.46,398168.51,398178.51,398188.51,398198.51,398208.51,398218.51,398228.51,398238.51
2026-03,2031-08,65,accelerated_ai_load,352.68,96.0,114.46,15.21,1.325,106.53,47.45,412674.69,935.85,412704.69,412714.69,412724.69,412734.69,412744.69,412754.69,412764.69,412774.69
2026-03,2031-09,66,accelerated_ai_load,359.05,96.0,114.25,9.15,1.315,106.54,45.73,420955.15,944.76,420985.15,420995.15,421005.15,421015.15,421025.15,421035.15,421045.15,421055.15
2026-03,2031-10,67,accelerated_ai_load,346.43,96.0,115.27,-0.3,1.32,107.15,47.31,405742.56,921.38,405772.56,405782.56,405792.56,405802.56,405812.56,405822.56,405832.56,405842.56
2026-03,2031-11,68,accelerated_ai_load,367.95,96.0,117.92,-1.57,1.326,106.95,48.13,426297.89,969.56,426327.89,426337.89,426347.89,426357.89,426367.89,426377.89,426387.89,426397.89
2026-03,2031-12,69,accelerated_ai_load,366.59,96.0,117.1,-5.09,1.316,106.97,53.64,423089.82,950.82,423119.82,423129.82,423139.82,423149.82,423159.82,423169.82,423179.82,423189.82
2026-03,2032-01,70,accelerated_ai_load,366.19,96.0,116.95,-3.79,1.323,107.81,56.28,422355.82,965.44,422385.82,422395.82,422405.82,422415.82,422425.82,422435.82,422445.82,422455.82
2026-03,2032-02,71,accelerated_ai_load,363.83,96.0,116.08,0.38,1.315,106.72,55.63,419390.98,944.37,419420.98,419430.98,419440.98,419450.98,419460.98,419470.98,419480.98,419490.98
2026-03,2032-03,72,accelerated_ai_load,381.11,96.0,114.58,7.46,1.33,107.36,51.94,444421.33,1011.1,444451.33,444461.33,444471.33,444481.33,444491.33,444501.33,444511.33,444521.33
2026-03,2032-04,73,accelerated_ai_load,389.5,96.0,113.98,14.43,1.296,107.37,54.05,445658.51,1004.68,445688.51,445698.51,445708.51,445718.51,445728.51,445738.51,445748.51,445758.51
2026-03,2032-05,74,accelerated_ai_load,386.11,96.0,110.27,19.11,1.324,107.59,52.6,447320.68,1001.85,447350.68,447360.68,447370.68,447380.68,447390.68,447400.68,447410.68,447420.68
2026-03,2032-06,75,accelerated_ai_load,390.86,96.0,109.36,19.9,1.31,107.16,52.69,451699.63,1017.28,451729.63,451739.63,451749.63,451759.63,451769.63,451779.63,451789.63,451799.63
2026-03,2032-07,76,accelerated_ai_load,396.62,96.0,109.12,20.42,1.323,106.83,49.16,460671.5,1035.15,460701.5,460711.5,460721.5,460731.5,460741.5,460751.5,460761.5,460771.5
2026-03,2032-08,77,accelerated_ai_load,402.41,96.0,107.74,13.68,1.305,108.34,53.92,460052.36,1047.24,460082.36,460092.36,460102.36,460112.36,460122.36,460132.36,460142.36,460152.36
2026-03,2032-09,78,accelerated_ai_load,411.72,96.0,109.92,10.32,1.302,107.86,51.44,464627.47,1037.71,464657.47,464667.47,464677.47,464687.47,464697.47,464707.47,464717.47,464727.47
2026-03,2032-10,79,accelerated_ai_load,403.87,96.0,108.22,1.95,1.311,107.64,52.82,457930.82,1027.97,457960.82,457970.82,457980.82,457990.82,458000.82,458010.82,458020.82,458030.82
2026-03,2032-11,80,accelerated_ai_load,416.29,96.0,111.25,-3.88,1.318,108.27,58.72,470651.29,1066.58,470681.29,470691.29,470701.29,470711.29,470721.29,470731.29,470741.29,470751.29
2026-03,2032-12,81,accelerated_ai_load,421.45,96.0,114.47,-4.86,1.316,108.45,57.3,476429.2,1086.16,476459.2,476469.2,476479.2,476489.2,476499.2,476509.2,476519.2,476529.2
2026-03,2033-01,82,accelerated_ai_load,422.74,96.0,114.47,-5.35,1.331,108.57,62.37,483040.5,1087.44,483070.5,483080.5,483090.5,483100.5,483110.5,483120.5,483130.5,483140.5
2026-03,2033-02,83,accelerated_ai_load,435.78,96.0,116.01,3.71,1.312,108.52,62.96,488347.82,1108.23,488377.82,488387.82,488397.82,488407.82,488417.82,488427.82,488437.82,488447.82
2026-03,2033-03,84,accelerated_ai_load,429.24,96.0,119.55,7.71,1.347,108.92,61.97,495833.82,1115.84,495863.82,495873.82,495883.82,495893.82,495903.82,495913.82,495923.82,495933.82
2026-03,2033-04,85,accelerated_ai_load,443.06,96.0,118.25,15.81,1.313,108.61,60.22,499386.18,1134.3,499416.18,499426.18,499436.18,499446.18,499456.18,499466.18,499476.18,499486.18
2026-03,2033-05,86,accelerated_ai_load,428.25,96.0,119.39,20.82,1.356,109.41,59.75,502988.49,1140.95,503018.49,503028.49,503038.49,503048.49,503058.49,503068.49,503078.49,503088.49
2026-03,2033-06,87,accelerated_ai_load,436.93,96.0,119.83,19.72,1.318,108.95,56.91,498874.48,1138.1,498904.48,498914.48,498924.48,498934.48,498944.48,498954.48,498964.48,498974.48
2026-03,2033-07,88,accelerated_ai_load,448.14,96.0,119.83,19.23,1.315,109.6,53.16,508937.47,1152.76,508967.47,508977.47,508987.47,508997.47,509007.47,509017.47,509027.47,509037.47
2026-03,2033-08,89,accelerated_ai_load,452.46,96.0,118.62,14.82,1.319,109.09,55.24,509227.91,1153.59,509257.91,509267.91,509277.91,509287.91,509297.91,509307.91,509317.91,509327.91
2026-03,2033-09,90,accelerated_ai_load,463.39,96.0,115.88,7.35,1.318,110.03,58.49,518008.08,1170.12,518038.08,518048.08,518058.08,518068.08,518078.08,518088.08,518098.08,518108.08
2026-03,2033-10,91,accelerated_ai_load,458.9,96.0,114.86,2.44,1.316,109.64,58.61,513655.1,1165.2,513685.1,513695.1,513705.1,513715.1,513725.1,513735.1,513745.1,513755.1
2026-03,2033-11,92,accelerated_ai_load,465.5,96.0,114.63,-1.86,1.307,109.41,60.35,513536.2,1167.82,513566.2,513576.2,513586.2,513596.2,513606.2,513616.2,513626.2,513636.2
2026-03,2033-12,93,accelerated_ai_load,477.77,96.0,114.1,-6.93,1.322,110.03,61.08,533332.42,1207.95,533362.42,533372.42,533382.42,533392.42,533402.42,533412.42,533422.42,533432.42
2026-03,2034-01,94,accelerated_ai_load,477.8,96.0,112.13,-3.97,1.32,109.17,64.99,531050.13,1203.16,531080.13,531090.13,531100.13,531110.13,531120.13,531130.13,531140.13,531150.13
2026-03,2034-02,95,accelerated_ai_load,484.71,96.0,111.63,2.18,1.337,110.13,68.81,546825.68,1238.34,546855.68,546865.68,546875.68,546885.68,546895.68,546905.68,546915.68,546925.68
2026-03,2034-03,96,accelerated_ai_load,479.63,96.0,111.28,9.37,1.302,110.64,62.97,530972.03,1211.51,531002.03,531012.03,531022.03,531032.03,531042.03,531052.03,531062.03,531072.03
2026-03,2034-04,97,accelerated_ai_load,483.38,96.0,112.15,13.83,1.314,110.4,64.97,538963.08,1232.45,538993.08,539003.08,539013.08,539023.08,539033.08,539043.08,539053.08,539063.08
2026-03,2034-05,98,accelerated_ai_load,490.88,96.0,112.23,18.99,1.302,110.02,61.04,542722.72,1234.04,542752.72,542762.72,542772.72,542782.72,542792.72,542802.72,542812.72,542822.72
2026-03,2034-06,99,accelerated_ai_load,476.68,96.0,115.73,20.31,1.317,110.53,62.24,539429.43,1220.02,539459.43,539469.43,539479.43,539489.43,539499.43,539509.43,539519.43,539529.43
2026-03,2034-07,100,accelerated_ai_load,492.03,96.0,116.99,20.0,1.305,111.02,62.06,546165.76,1247.35,546195.76,546205.76,546215.76,546225.76,546235.76,546245.76,546255.76,546265.76
2026-03,2034-08,101,accelerated_ai_load,492.2,96.0,119.27,14.64,1.321,110.23,59.28,551146.23,1247.31,551176.23,551186.23,551196.23,551206.23,551216.23,551226.23,551236.23,551246.23
2026-03,2034-09,102,accelerated_ai_load,509.4,96.0,119.38,8.34,1.325,110.66,61.96,564491.36,1286.54,564521.36,564531.36,564541.36,564551.36,564561.36,564571.36,564581.36,564591.36
2026-03,2034-10,103,accelerated_ai_load,509.01,96.0,123.02,2.29,1.323,111.66,62.01,561747.39,1276.39,561777.39,561787.39,561797.39,561807.39,561817.39,561827.39,561837.39,561847.39
2026-03,2034-11,104,accelerated_ai_load,515.16,96.0,121.9,-2.63,1.317,111.85,63.0,566590.18,1288.78,566620.18,566630.18,566640.18,566650.18,566660.18,566670.18,566680.18,566690.18
2026-03,2034-12,105,accelerated_ai_load,526.92,96.0,122.28,-6.15,1.331,112.25,66.16,583047.24,1326.3,583077.24,583087.24,583097.24,583107.24,583117.24,583127.24,583137.24,583147.24
2026-03,2035-01,106,accelerated_ai_load,526.94,96.0,121.44,-4.09,1.318,111.48,67.89,577210.84,1311.94,577240.84,577250.84,577260.84,577270.84,577280.84,577290.84,577300.84,577310.84
2026-03,2035-02,107,accelerated_ai_load,525.87,96.0,124.02,3.17,1.317,112.03,69.7,579708.62,1324.33,579738.62,579748.62,579758.62,579768.62,579778.62,579788.62,579798.62,579808.62
2026-03,2035-03,108,accelerated_ai_load,528.48,96.0,120.08,9.02,1.329,111.6,70.0,589261.1,1339.67,589291.1,589301.1,589311.1,589321.1,589331.1,589341.1,589351.1,589361.1
2026-03,2035-04,109,accelerated_ai_load,540.03,96.0,119.74,15.71,1.317,112.14,69.05,590366.24,1344.81,590396.24,590406.24,590416.24,590426.24,590436.24,590446.24,590456.24,590466.24
2026-03,2035-05,110,accelerated_ai_load,537.84,96.0,117.72,19.12,1.309,111.89,67.75,592035.22,1348.91,592065.22,592075.22,592085.22,592095.22,592105.22,592115.22,592125.22,592135.22
2026-03,2035-06,111,accelerated_ai_load,540.88,96.0,115.4,21.45,1.349,112.13,68.72,613451.59,1387.87,613481.59,613491.59,613501.59,613511.59,613521.59,613531.59,613541.59,613551.59
2026-03,2035-07,112,accelerated_ai_load,544.18,96.0,113.66,19.65,1.324,112.41,65.32,604492.13,1381.59,604522.13,604532.13,604542.13,604552.13,604562.13,604572.13,604582.13,604592.13
2026-03,2035-08,113,accelerated_ai_load,552.11,96.0,114.18,15.36,1.33,112.39,66.12,610919.69,1398.73,610949.69,610959.69,610969.69,610979.69,610989.69,610999.69,611009.69,611019.69
2026-03,2035-09,114,accelerated_ai_load,554.04,96.0,112.08,9.92,1.32,112.83,62.04,609581.53,1377.39,609611.53,609621.53,609631.53,609641.53,609651.53,609661.53,609671.53,609681.53
2026-03,2035-10,115,accelerated_ai_load,564.93,96.0,116.22,2.87,1.316,112.56,70.0,614378.39,1407.82,614408.39,614418.39,614428.39,614438.39,614448.39,614458.39,614468.39,614478.39
2026-03,2035-11,116,accelerated_ai_load,561.83,96.0,117.63,-4.16,1.306,112.69,70.0,607423.41,1391.37,607453.41,607463.41,607473.41,607483.41,607493.41,607503.41,607513.41,607523.41
2026-03,2035-12,117,accelerated_ai_load,563.1,96.0,117.14,-4.63,1.307,112.77,70.0,608731.14,1388.8,608761.14,608771.14,608781.14,608791.14,608801.14,608811.14,608821.14,608831.14
2026-03,2036-01,118,accelerated_ai_load,572.22,96.0,119.39,-2.98,1.315,112.69,70.0,619684.4,1414.66,619714.4,619724.4,619734.4,619744.4,619754.4,619764.4,619774.4,619784.4
2026-03,2036-02,119,accelerated_ai_load,577.35,96.0,120.19,0.87,1.333,112.96,70.0,634127.85,1443.67,634157.85,634167.85,634177.85,634187.85,634197.85,634207.85,634217.85,634227.85
2026-03,2036-03,120,accelerated_ai_load,586.39,96.0,123.96,8.1,1.318,113.85,70.0,637207.15,1456.05,637237.15,637247.15,637257.15,637267.15,637277.15,637287.15,637297.15,637307.15
2026-03,2036-04,121,accelerated_ai_load,579.87,96.0,123.12,13.77,1.333,113.58,70.0,640273.75,1461.92,640303.75,640313.75,640323.75,640333.75,640343.75,640353.75,640363.75,640373.75
2026-03,2036-05,122,accelerated_ai_load,584.47,96.0,124.73,18.9,1.3,114.05,70.0,632754.87,1440.33,632784.87,632794.87,632804.87,632814.87,632824.87,632834.87,632844.87,632854.87
2026-03,2036-06,123,accelerated_ai_load,590.57,96.0,126.53,20.91,1.333,112.9,66.34,652134.88,1478.83,652164.88,652174.88,652184.88,652194.88,652204.88,652214.88,652224.88,652234.88
2026-03,2036-07,124,accelerated_ai_load,596.23,96.0,127.28,20.16,1.31,113.75,70.0,647992.12,1474.74,648022.12,648032.12,648042.12,648052.12,648062.12,648072.12,648082.12,648092.12
2026-03,2036-08,125,accelerated_ai_load,603.68,96.0,123.79,14.12,1.317,113.72,65.73,654967.09,1494.16,654997.09,655007.09,655017.09,655027.09,655037.09,655047.09,655057.09,655067.09
2026-03,2036-09,126,accelerated_ai_load,608.18,96.0,122.82,7.54,1.325,113.92,70.0,663095.82,1513.69,663125.82,663135.82,663145.82,663155.82,663165.82,663175.82,663185.82,663195.82
2026-03,2036-10,127,accelerated_ai_load,613.1,96.0,120.72,0.68,1.315,113.64,70.0,660274.3,1506.81,660304.3,660314.3,660324.3,660334.3,660344.3,660354.3,660364.3,660374.3
2026-03,2036-11,128,accelerated_ai_load,614.21,96.0,118.66,-1.55,1.316,113.76,70.0,662887.52,1518.2,662917.52,662927.52,662937.52,662947.52,662957.52,662967.52,662977.52,662987.52
2026-03,2036-12,129,accelerated_ai_load,618.87,96.0,118.38,-2.98,1.324,114.28,70.0,671256.08,1531.14,671286.08,671296.08,671306.08,671316.08,671326.08,671336.08,671346.08,671356.08
2026-06,2027-01,7,uncertain_connection,142.79,54.62,104.15,-2.84,1.332,100.34,32.58,149383.42,341.52,149413.42,149423.42,149433.42,149443.42,149453.42,149463.42,149473.42,149483.42
2026-06,2027-02,8,uncertain_connection,142.94,56.1,106.93,1.69,1.326,100.43,33.63,154663.2,354.68,154693.2,154703.2,154713.2,154723.2,154733.2,154743.2,154753.2,154763.2
2026-06,2027-03,9,uncertain_connection,156.73,59.89,107.57,7.99,1.331,100.27,33.45,167181.49,385.02,167211.49,167221.49,167231.49,167241.49,167251.49,167261.49,167271.49,167281.49
2026-06,2027-04,10,uncertain_connection,146.74,63.71,109.09,14.08,1.319,100.93,32.85,167611.07,386.47,167641.07,167651.07,167661.07,167671.07,167681.07,167691.07,167701.07,167711.07
2026-06,2027-05,11,uncertain_connection,163.43,64.22,109.61,17.89,1.33,101.11,28.53,183386.04,423.06,183416.04,183426.04,183436.04,183446.04,183456.04,183466.04,183476.04,183486.04
2026-06,2027-06,12,uncertain_connection,163.2,65.12,110.79,21.87,1.345,100.49,27.48,188556.51,421.87,188586.51,188596.51,188606.51,188616.51,188626.51,188636.51,188646.51,188656.51
2026-06,2027-07,13,uncertain_connection,171.63,67.13,110.55,20.12,1.311,100.93,26.81,191694.13,430.77,191724.13,191734.13,191744.13,191754.13,191764.13,191774.13,191784.13,191794.13
2026-06,2027-08,14,uncertain_connection,182.66,62.18,109.87,13.85,1.334,101.27,26.12,190359.02,428.05,190389.02,190399.02,190409.02,190419.02,190429.02,190439.02,190449.02,190459.02
2026-06,2027-09,15,uncertain_connection,165.94,59.33,106.37,7.78,1.336,102.25,26.74,175455.71,395.48,175485.71,175495.71,175505.71,175515.71,175525.71,175535.71,175545.71,175555.71
2026-06,2027-10,16,uncertain_connection,182.65,60.24,106.78,0.84,1.307,102.31,31.02,185050.89,424.62,185080.89,185090.89,185100.89,185110.89,185120.89,185130.89,185140.89,185150.89
2026-06,2027-11,17,uncertain_connection,182.94,56.7,105.58,-2.81,1.321,100.69,32.07,175245.44,408.94,175275.44,175285.44,175295.44,175305.44,175315.44,175325.44,175335.44,175345.44
2026-06,2027-12,18,uncertain_connection,180.86,63.82,102.24,-4.3,1.327,101.39,36.96,188420.15,441.7,188450.15,188460.15,188470.15,188480.15,188490.15,188500.15,188510.15,188520.15
2026-06,2028-01,19,uncertain_connection,193.02,62.45,99.54,-2.83,1.319,101.27,36.54,193118.28,444.82,193148.28,193158.28,193168.28,193178.28,193188.28,193198.28,193208.28,193218.28
2026-06,2028-02,20,uncertain_connection,194.93,59.95,102.86,2.46,1.314,101.61,40.62,191545.15,453.67,191575.15,191585.15,191595.15,191605.15,191615.15,191625.15,191635.15,191645.15
2026-06,2028-03,21,uncertain_connection,203.83,68.14,102.4,7.93,1.312,102.2,36.06,213474.91,491.66,213504.91,213514.91,213524.91,213534.91,213544.91,213554.91,213564.91,213574.91
2026-06,2028-04,22,accelerated_ai_load,201.09,74.45,103.62,13.93,1.333,102.02,34.85,227268.33,508.0,227298.33,227308.33,227318.33,227328.33,227338.33,227348.33,227358.33,227368.33
