forecast_cycle,forecast_period,months_ahead,scenario,feature_1_data_center_committed_mw,feature_2_grid_connection_probability_pct,feature_3_power_price_index,feature_4_avg_temperature_c,feature_5_cooling_efficiency_pue,feature_6_industrial_growth_index,feature_7_renewable_availability_pct,target_1_total_load_mwh,target_2_peak_load_mw,target_3_synthetic,target_4_synthetic,target_5_synthetic
Mar-26,Mar-28,24,uncertain_connection,179.2,65.52,100,7.56,1.323,101.51,40,191548.62,437.1,191578.62,191588.62,191598.62
Mar-26,Apr-28,25,uncertain_connection,186.12,65.01,101.21,12.63,1.32,102.05,36.46,199190.87,459.9,199220.87,199230.87,199240.87
Mar-26,May-28,26,accelerated_ai_load,182.23,73.35,100.53,18.66,1.331,101.18,36.1,214373.5,480.52,214403.5,214413.5,214423.5
Mar-26,Jun-28,27,accelerated_ai_load,187.51,74.49,104.15,22.39,1.349,101.98,31.69,219835.06,503.29,219865.06,219875.06,219885.06
Mar-26,Jul-28,28,accelerated_ai_load,204.38,72.59,106.3,18.99,1.323,102.49,29.95,225428.23,521.05,225458.23,225468.23,225478.23
Mar-26,Aug-28,29,accelerated_ai_load,201.58,82.52,105.93,14.4,1.307,102.45,30.82,239707.09,530.76,239737.09,239747.09,239757.09
Mar-26,Sep-28,30,accelerated_ai_load,195.33,72.68,110.82,9.17,1.32,102.25,30.18,215320.66,480.46,215350.66,215360.66,215370.66
Mar-26,Oct-28,31,uncertain_connection,213.53,68.03,111.04,1.23,1.333,102.21,37.03,220225.08,502.25,220255.08,220265.08,220275.08
Mar-26,Nov-28,32,uncertain_connection,218.99,70.46,111.12,-0.96,1.32,101.83,34.37,226832.7,523.06,226862.7,226872.7,226882.7
Mar-26,Dec-28,33,uncertain_connection,213.67,65.23,112.92,-5.06,1.328,102.96,42.78,213107.06,495.2,213137.06,213147.06,213157.06
Mar-26,Jan-29,34,uncertain_connection,223.48,70.71,110.69,-4.81,1.323,102.71,42.15,232757.55,536.18,232787.55,232797.55,232807.55
Mar-26,Feb-29,35,uncertain_connection,231.06,61.3,109.44,1.48,1.315,103.23,45.04,216474.88,514.88,216504.88,216514.88,216524.88
Mar-26,Mar-29,36,uncertain_connection,231.71,70.46,109.76,7.85,1.319,102.68,42.31,238536.13,553.68,238566.13,238576.13,238586.13
Mar-26,Apr-29,37,uncertain_connection,234.95,67.79,109.92,13.47,1.326,103.75,42.5,237127.47,547.22,237157.47,237167.47,237177.47
Mar-26,May-29,38,accelerated_ai_load,236.65,80.02,106.2,19.69,1.326,103.64,43.15,270451.33,606.61,270481.33,270491.33,270501.33
Mar-26,Jun-29,39,accelerated_ai_load,245.42,76.65,105.51,21.19,1.333,103.46,35.15,270289.97,612.03,270319.97,270329.97,270339.97
Mar-26,Jul-29,40,accelerated_ai_load,244.65,84.18,102.96,19.13,1.323,103.89,38.84,284469.02,652.34,284499.02,284509.02,284519.02
Mar-26,Aug-29,41,accelerated_ai_load,256.54,87.19,104.26,14.06,1.313,104.41,34.66,299432.38,678.1,299462.38,299472.38,299482.38
Mar-26,Sep-29,42,accelerated_ai_load,255.29,87.76,103.86,8.8,1.341,104.5,35.46,303354.82,673.09,303384.82,303394.82,303404.82
Mar-26,Oct-29,43,accelerated_ai_load,264.14,94.16,105.3,1.88,1.323,104.14,35.27,321880.18,717.04,321910.18,321920.18,321930.18
Mar-26,Nov-29,44,accelerated_ai_load,264.49,84.07,107.86,-4.34,1.312,103.97,37.53,294375.14,669.48,294405.14,294415.14,294425.14
Mar-26,Dec-29,45,accelerated_ai_load,264.27,86.38,107.25,-3.73,1.32,104.17,40.89,299199.99,683.43,299229.99,299239.99,299249.99
Jun-26,Jan-27,7,uncertain_connection,139.3,53.86,104.54,-4.72,1.314,100.29,33.73,146933,337.81,146963,146973,146983
Jun-26,Feb-27,8,uncertain_connection,143.01,58.49,106.89,1.15,1.318,100.21,32.66,154464.38,364.52,154494.38,154504.38,154514.38
Jun-26,Mar-27,9,uncertain_connection,157.37,63.17,109.09,9.12,1.327,100.17,32,171672.7,389.89,171702.7,171712.7,171722.7
Jun-26,Apr-27,10,uncertain_connection,161.42,71.79,109.07,14.19,1.329,100.5,35.6,192283.16,433.56,192313.16,192323.16,192333.16
Jun-26,May-27,11,uncertain_connection,157.32,66.25,109.73,19.28,1.302,101.31,29.65,181457.13,415,181487.13,181497.13,181507.13
Jun-26,Jun-27,12,uncertain_connection,164.79,67.32,112.39,20.85,1.334,101.13,30.3,188299.79,423.04,188329.79,188339.79,188349.79
Jun-26,Jul-27,13,uncertain_connection,165.21,63.98,109.33,20.28,1.329,101.07,27.54,185987.87,427.97,186017.87,186027.87,186037.87
Jun-26,Aug-27,14,uncertain_connection,182.49,59.51,108.76,15.92,1.307,101.45,26.91,184039.95,419.27,184069.95,184079.95,184089.95
Jun-26,Sep-27,15,uncertain_connection,176.02,53.57,108.84,7.56,1.319,101.55,27.36,169848.96,397.54,169878.96,169888.96,169898.96
Jun-26,Oct-27,16,uncertain_connection,178.17,56.69,104.76,0.49,1.309,101.04,27.39,173376.58,406.3,173406.58,173416.58,173426.58
Jun-26,Nov-27,17,uncertain_connection,186.16,54.35,104.76,-2.87,1.344,101.81,28.89,174453.21,415.19,174483.21,174493.21,174503.21
Jun-26,Dec-27,18,uncertain_connection,187.27,58.37,103.3,-4.27,1.288,101.87,32.42,177908.56,418.14,177938.56,177948.56,177958.56
Jun-26,Jan-28,19,uncertain_connection,198.71,55.09,101.66,-2.6,1.335,102.25,38.78,183675.34,430.52,183705.34,183715.34,183725.34
Jun-26,Feb-28,20,uncertain_connection,197.43,61.63,102.15,1.23,1.313,102.01,42,198507.04,456.18,198537.04,198547.04,198557.04
Jun-26,Mar-28,21,uncertain_connection,200.6,64.29,101.22,9.6,1.317,102.75,33.58,203605.83,466.88,203635.83,203645.83,203655.83
Jun-26,Apr-28,22,uncertain_connection,204.86,66.9,104.27,15.79,1.314,102.19,36.97,213236.45,488.13,213266.45,213276.45,213286.45
Jun-26,May-28,23,accelerated_ai_load,202.04,76.13,103.23,21.16,1.323,102.7,36.92,233611.11,524.18,233641.11,233651.11,233661.11
Jun-26,Jun-28,24,accelerated_ai_load,222.39,85.35,105.46,20.8,1.333,102.18,36.18,269690.26,611.95,269720.26,269730.26,269740.26
Jun-26,Jul-28,25,accelerated_ai_load,210.69,80.99,108.6,18.82,1.316,102.81,28.22,246540.04,553.69,246570.04,246580.04,246590.04
Jun-26,Aug-28,26,accelerated_ai_load,223.48,78.59,110.2,15.21,1.322,102.71,33.05,249182.11,571.12,249212.11,249222.11,249232.11
Jun-26,Sep-28,27,accelerated_ai_load,229.85,76.75,109.99,9.15,1.312,102.72,31.33,253527.71,572.44,253557.71,253567.71,253577.71
Jun-26,Oct-28,28,accelerated_ai_load,217.23,75.01,111.01,-0.3,1.317,103.33,32.91,236427.21,545.41,236457.21,236467.21,236477.21
Jun-26,Nov-28,29,accelerated_ai_load,238.75,72.3,113.66,-1.57,1.323,103.13,33.73,245849.03,572.1,245879.03,245889.03,245899.03
Jun-26,Dec-28,30,accelerated_ai_load,237.39,73.97,112.84,-5.09,1.313,103.15,39.24,247898.92,563.51,247928.92,247938.92,247948.92
Jun-26,Jan-29,31,uncertain_connection,236.99,68.98,112.69,-3.79,1.32,103.99,41.88,235214.02,555.05,235244.02,235254.02,235264.02
Jun-26,Feb-29,32,uncertain_connection,234.63,64.02,111.82,0.38,1.312,102.9,41.23,222894.42,515.93,222924.42,222934.42,222944.42
Jun-26,Mar-29,33,accelerated_ai_load,251.91,74.8,110.32,7.46,1.327,103.54,37.54,266467.86,618.45,266497.86,266507.86,266517.86
Jun-26,Apr-29,34,accelerated_ai_load,260.3,81.53,109.72,14.43,1.293,103.55,39.65,286656.15,648.62,286686.15,286696.15,286706.15
Jun-26,May-29,35,accelerated_ai_load,256.91,84.14,106.01,19.11,1.321,103.77,38.2,291909.18,652.72,291939.18,291949.18,291959.18
Jun-26,Jun-29,36,accelerated_ai_load,261.66,90.75,105.1,19.9,1.307,103.34,38.29,313530.63,701.44,313560.63,313570.63,313580.63
Jun-26,Jul-29,37,accelerated_ai_load,267.42,88.29,104.86,20.42,1.32,103.01,34.76,314700.63,704.25,314730.63,314740.63,314750.63
Jun-26,Aug-29,38,accelerated_ai_load,273.21,94.04,103.48,13.68,1.302,104.52,39.52,330247.61,747.55,330277.61,330287.61,330297.61
Jun-26,Sep-29,39,accelerated_ai_load,282.52,96,105.66,10.32,1.299,104.04,37.04,340120.89,748.25,340150.89,340160.89,340170.89
Jun-26,Oct-29,40,accelerated_ai_load,274.67,96,103.96,1.95,1.308,103.82,38.42,332623.8,736.96,332653.8,332663.8,332673.8
Jun-26,Nov-29,41,accelerated_ai_load,287.09,86.04,106.99,-3.88,1.315,104.45,44.32,317639.24,722.09,317669.24,317679.24,317689.24
Jun-26,Dec-29,42,accelerated_ai_load,292.25,87.45,110.21,-4.86,1.313,104.63,42.9,326985.32,748.56,327015.32,327025.32,327035.32
Sep-26,Jan-27,4,uncertain_connection,164.34,58.94,105.95,-5.35,1.325,100.93,33.57,169949.74,384.81,169979.74,169989.74,169999.74
Sep-26,Feb-27,5,uncertain_connection,177.38,65.67,107.49,3.71,1.306,100.88,34.16,186079.25,426.49,186109.25,186119.25,186129.25
Sep-26,Mar-27,6,accelerated_ai_load,170.84,76.07,111.03,7.71,1.341,101.28,33.17,205217.76,456.6,205247.76,205257.76,205267.76
Sep-26,Apr-27,7,uncertain_connection,184.66,70.55,109.73,15.81,1.307,100.97,31.42,203266.22,464.44,203296.22,203306.22,203316.22
Sep-26,May-27,8,accelerated_ai_load,169.85,74.16,110.87,20.82,1.35,101.77,30.95,207404.33,472.12,207434.33,207444.33,207454.33
Sep-26,Jun-27,9,uncertain_connection,178.53,68.88,111.31,19.72,1.312,101.31,28.11,200533.14,463.94,200563.14,200573.14,200583.14
Sep-26,Jul-27,10,accelerated_ai_load,189.74,72.6,111.31,19.23,1.309,101.96,24.36,214820.19,486.76,214850.19,214860.19,214870.19
Sep-26,Aug-27,11,uncertain_connection,194.06,63.34,110.1,14.82,1.313,101.45,26.44,196331.69,451.33,196361.69,196371.69,196381.69
Sep-26,Sep-27,12,uncertain_connection,204.99,63.78,107.36,7.35,1.312,102.39,29.69,202837.21,463.48,202867.21,202877.21,202887.21
Sep-26,Oct-27,13,uncertain_connection,200.5,62.9,106.34,2.44,1.31,102,29.81,198738.31,459.04,198768.31,198778.31,198788.31
Sep-26,Nov-27,14,uncertain_connection,207.1,66.39,106.11,-1.86,1.301,101.77,31.55,205194.09,474.35,205224.09,205234.09,205244.09
Sep-26,Dec-27,15,uncertain_connection,219.37,63.91,105.58,-6.93,1.316,102.39,32.28,213108.03,491.54,213138.03,213148.03,213158.03
Sep-26,Jan-28,16,uncertain_connection,219.4,62.99,103.61,-3.97,1.314,101.53,36.19,210528.6,486.18,210558.6,210568.6,210578.6
Sep-26,Feb-28,17,uncertain_connection,226.31,61.06,103.11,2.18,1.331,102.49,40.01,215828.38,501.14,215858.38,215868.38,215878.38
Sep-26,Mar-28,18,accelerated_ai_load,221.23,73.37,102.76,9.37,1.296,103,34.17,235316.95,542.53,235346.95,235356.95,235366.95
Sep-26,Apr-28,19,accelerated_ai_load,224.98,81.65,103.63,13.83,1.308,102.76,36.17,257563.77,591.01,257593.77,257603.77,257613.77
Sep-26,May-28,20,accelerated_ai_load,232.48,82.18,103.71,18.99,1.296,102.38,32.24,263869.82,597.51,263899.82,263909.82,263919.82
Sep-26,Jun-28,21,accelerated_ai_load,218.28,90.98,107.21,20.31,1.311,102.89,33.44,277618.94,616.39,277648.94,277658.94,277668.94
Sep-26,Jul-28,22,accelerated_ai_load,233.63,81.88,108.47,20,1.299,103.38,33.26,265842.41,607.98,265872.41,265882.41,265892.41
Sep-26,Aug-28,23,accelerated_ai_load,233.8,78.51,110.75,14.64,1.315,102.59,30.48,260142.81,587.32,260172.81,260182.81,260192.81
Sep-26,Sep-28,24,accelerated_ai_load,251,84.72,110.86,8.34,1.319,103.02,33.16,284461.94,647.74,284491.94,284501.94,284511.94
Sep-26,Oct-28,25,accelerated_ai_load,250.61,80.69,114.5,2.29,1.317,104.02,33.21,272770.86,620.31,272800.86,272810.86,272820.86
Sep-26,Nov-28,26,accelerated_ai_load,256.76,73.43,113.38,-2.63,1.311,104.21,34.2,260286.02,599.25,260316.02,260326.02,260336.02
Sep-26,Dec-28,27,uncertain_connection,268.52,70.99,113.76,-6.15,1.325,104.61,37.36,264819.24,613.75,264849.24,264859.24,264869.24
Sep-26,Jan-29,28,accelerated_ai_load,268.54,74.67,112.92,-4.09,1.312,103.84,39.09,271232.09,623.04,271262.09,271272.09,271282.09
Sep-26,Feb-29,29,accelerated_ai_load,267.47,81.98,115.5,3.17,1.311,104.39,40.9,292574.18,671.81,292604.18,292614.18,292624.18
Sep-26,Mar-29,30,accelerated_ai_load,270.08,80.97,111.56,9.02,1.323,103.96,42.74,296689.72,676.65,296719.72,296729.72,296739.72
Sep-26,Apr-29,31,accelerated_ai_load,281.63,86.13,111.22,15.71,1.311,104.5,40.25,312389.21,709.97,312419.21,312429.21,312439.21
Sep-26,May-29,32,accelerated_ai_load,279.44,91.71,109.2,19.12,1.303,104.25,38.95,330491.76,745.8,330521.76,330531.76,330541.76
Sep-26,Jun-29,33,accelerated_ai_load,282.48,95.88,106.88,21.45,1.343,104.49,39.92,355591.29,791.87,355621.29,355631.29,355641.29
Sep-26,Jul-29,34,accelerated_ai_load,285.78,96,105.14,19.65,1.318,104.77,36.52,351448.62,794.88,351478.62,351488.62,351498.62
Sep-26,Aug-29,35,accelerated_ai_load,293.71,94.05,105.66,15.36,1.324,104.75,37.32,351289.9,799.3,351319.9,351329.9,351339.9
Sep-26,Sep-29,36,accelerated_ai_load,295.64,96,103.56,9.92,1.314,105.19,33.24,357213,791.99,357243,357253,357263
Sep-26,Oct-29,37,accelerated_ai_load,306.53,96,107.7,2.87,1.31,104.92,43.3,362721.8,823.79,362751.8,362761.8,362771.8
Sep-26,Nov-29,38,accelerated_ai_load,303.43,96,109.11,-4.16,1.3,105.05,42.08,357493.31,810.68,357523.31,357533.31,357543.31
Sep-26,Dec-29,39,accelerated_ai_load,304.7,96,108.62,-4.63,1.301,105.13,45.32,358690.36,807.89,358720.36,358730.36,358740.36
Dec-26,Jan-27,1,uncertain_connection,184.62,69.89,106.61,-2.98,1.306,101.23,30.35,195985.46,449.4,196015.46,196025.46,196035.46
Dec-26,Feb-27,2,accelerated_ai_load,189.75,73,107.41,0.87,1.324,101.5,34.92,209413.46,476.44,209443.46,209453.46,209463.46
Dec-26,Mar-27,3,accelerated_ai_load,198.79,81.04,111.18,8.1,1.309,102.39,33.07,229920.45,522.47,229950.45,229960.45,229970.45
Dec-26,Apr-27,4,accelerated_ai_load,192.27,75.06,110.34,13.77,1.324,102.12,34.41,218680.43,500.72,218710.43,218720.43,218730.43
Dec-26,May-27,5,accelerated_ai_load,196.87,74.86,111.95,18.9,1.291,102.59,27.71,219624.17,495.47,219654.17,219664.17,219674.17
Dec-26,Jun-27,6,accelerated_ai_load,202.97,81.42,113.75,20.91,1.324,101.44,23.14,240720.15,537.28,240750.15,240760.15,240770.15
Dec-26,Jul-27,7,accelerated_ai_load,208.63,75.04,114.5,20.16,1.301,102.29,27.55,229952.26,520.4,229982.26,229992.26,230002.26
Dec-26,Aug-27,8,accelerated_ai_load,216.08,80.16,111.01,14.12,1.308,102.26,22.53,243830.18,553.15,243860.18,243870.18,243880.18
Dec-26,Sep-27,9,accelerated_ai_load,220.58,77.14,110.04,7.54,1.316,102.46,30.87,242375.4,554.18,242405.4,242415.4,242425.4
Dec-26,Oct-27,10,uncertain_connection,225.5,67.18,107.94,0.68,1.306,102.18,29.66,220673.83,510.85,220703.83,220713.83,220723.83
Dec-26,Nov-27,11,uncertain_connection,226.61,68.54,105.88,-1.55,1.307,102.3,31.21,225404.2,526.32,225434.2,225444.2,225454.2
Dec-26,Dec-27,12,uncertain_connection,231.27,68.81,105.6,-2.98,1.315,102.82,33.52,230711.57,533.35,230741.57,230751.57,230761.57
Dec-26,Jan-28,13,accelerated_ai_load,237.19,72.59,104.74,-2.84,1.326,102.78,37.38,244239.44,560.52,244269.44,244279.44,244289.44
Dec-26,Feb-28,14,accelerated_ai_load,237.34,73.29,105.22,1.69,1.32,102.87,38.43,248877.08,572.44,248907.08,248917.08,248927.08
Dec-26,Mar-28,15,accelerated_ai_load,251.13,77.85,104.35,7.99,1.325,102.71,38.25,269268.18,617.98,269298.18,269308.18,269318.18
Dec-26,Apr-28,16,accelerated_ai_load,241.14,83.84,105.35,14.08,1.313,103.37,37.65,275481.93,630.6,275511.93,275521.93,275531.93
Dec-26,May-28,17,accelerated_ai_load,257.83,87.48,106.4,17.89,1.324,103.55,33.33,303364.73,690.55,303394.73,303404.73,303414.73
Dec-26,Jun-28,18,accelerated_ai_load,257.6,91.86,109.08,21.87,1.339,102.93,32.28,319192.45,709.94,319222.45,319232.45,319242.45
Dec-26,Jul-28,19,accelerated_ai_load,266.03,96,111.14,20.12,1.305,103.37,31.61,328213.69,730.2,328243.69,328253.69,328263.69
Dec-26,Aug-28,20,accelerated_ai_load,277.06,94.21,113.28,13.85,1.328,103.71,30.92,336054.33,745.2,336084.33,336094.33,336104.33
Dec-26,Sep-28,21,accelerated_ai_load,260.34,92.14,112.8,7.78,1.33,104.69,31.54,315534.54,701.78,315564.54,315574.54,315584.54
Dec-26,Oct-28,22,accelerated_ai_load,277.05,92.27,116.03,0.84,1.301,104.75,35.82,325840.5,732.29,325870.5,325880.5,325890.5
Dec-26,Nov-28,23,accelerated_ai_load,277.34,86.57,117.13,-2.81,1.315,103.13,36.87,308741.04,702.54,308771.04,308781.04,308791.04
Dec-26,Dec-28,24,accelerated_ai_load,275.26,90.56,115.3,-4.3,1.321,103.83,41.76,319895.97,731.39,319925.97,319935.97,319945.97
Dec-26,Jan-29,25,accelerated_ai_load,287.42,85.71,113.12,-2.83,1.313,103.71,41.34,315635.04,717.21,315665.04,315675.04,315685.04
Dec-26,Feb-29,26,accelerated_ai_load,289.33,80.08,115.92,2.46,1.308,104.05,45.42,303308.48,705.31,303338.48,303348.48,303358.48
Dec-26,Mar-29,27,accelerated_ai_load,298.23,86.1,113.95,7.93,1.306,104.64,40.86,327942.36,748.52,327972.36,327982.36,327992.36
Dec-26,Apr-29,28,accelerated_ai_load,295.49,91.64,112.87,13.93,1.327,104.46,39.65,346589.52,774.22,346619.52,346629.52,346639.52
Dec-26,May-29,29,accelerated_ai_load,295.96,91.44,109.98,18.44,1.325,104.68,38.75,348030.15,786.85,348060.15,348070.15,348080.15
Dec-26,Jun-29,30,accelerated_ai_load,308.13,96,109.8,22.49,1.347,105,38.72,379560.8,847.3,379590.8,379600.8,379610.8
Dec-26,Jul-29,31,accelerated_ai_load,315.12,96,108.39,18.53,1.318,104.52,34.3,379427.06,851.66,379457.06,379467.06,379477.06
Dec-26,Aug-29,32,accelerated_ai_load,308.64,96,107.58,15.46,1.309,104.82,34.37,367386.45,825.95,367416.45,367426.45,367436.45
Dec-26,Sep-29,33,accelerated_ai_load,316.73,96,106.96,9.04,1.309,105.3,37,374821.16,853.42,374851.16,374861.16,374871.16
Dec-26,Oct-29,34,accelerated_ai_load,321.28,96,108.22,2.15,1.302,105.1,41.77,375299.62,847.29,375329.62,375339.62,375349.62
Dec-26,Nov-29,35,accelerated_ai_load,329.66,96,110.68,-1.48,1.311,105.87,43.09,388605.6,876.98,388635.6,388645.6,388655.6
Dec-26,Dec-29,36,accelerated_ai_load,335.37,96,111.83,-5.19,1.308,106.07,43.92,389270.3,884.21,389300.3,389310.3,389320.3
