forecast_cycle,forecast_period,months_ahead,scenario,feature_1_data_center_committed_mw,feature_2_grid_connection_probability_pct,feature_3_power_price_index,feature_4_avg_temperature_c,feature_5_cooling_efficiency_pue,feature_6_industrial_growth_index,feature_7_renewable_availability_pct,target_1_total_load_mwh,target_2_peak_load_mw,target_3_synthetic,target_4_synthetic,target_5_synthetic,target_6_synthetic,target_7_synthetic,target_8_synthetic,target_9_synthetic,target_10_synthetic,target_11_synthetic,target_12_synthetic,target_13_synthetic,target_14_synthetic,target_15_synthetic,target_16_synthetic,target_17_synthetic,target_18_synthetic,target_19_synthetic,target_20_synthetic,target_21_synthetic,target_22_synthetic,target_23_synthetic,target_24_synthetic,target_25_synthetic
2026-03,2027-11,20,uncertain_connection,160.9,42.75,102.22,-4.65,1.325,101.18,30.94,144008.35,338.03,144038.35,144048.35,144058.35,144068.35,144078.35,144088.35,144098.35,144108.35,144118.35,144128.35,144138.35,144148.35,144158.35,144168.35,144178.35,144188.35,144198.35,144208.35,144218.35,144228.35,144238.35,144248.35,144258.35
2026-03,2027-12,21,uncertain_connection,170.96,51.93,101.19,-4.85,1.326,101.37,37.39,165047.76,380.03,165077.76,165087.76,165097.76,165107.76,165117.76,165127.76,165137.76,165147.76,165157.76,165167.76,165177.76,165187.76,165197.76,165207.76,165217.76,165227.76,165237.76,165247.76,165257.76,165267.76,165277.76,165287.76,165297.76
2026-03,2028-01,22,uncertain_connection,169.23,47.76,101.49,-4.29,1.31,101.23,38.38,153979.73,367.29,154009.73,154019.73,154029.73,154039.73,154049.73,154059.73,154069.73,154079.73,154089.73,154099.73,154109.73,154119.73,154129.73,154139.73,154149.73,154159.73,154169.73,154179.73,154189.73,154199.73,154209.73,154219.73,154229.73
2026-03,2028-02,23,uncertain_connection,173.68,60.32,99.71,2.23,1.331,102.28,37.86,179709.62,411.67,179739.62,179749.62,179759.62,179769.62,179779.62,179789.62,179799.62,179809.62,179819.62,179829.62,179839.62,179849.62,179859.62,179869.62,179879.62,179889.62,179899.62,179909.62,179919.62,179929.62,179939.62,179949.62,179959.62
2026-03,2028-03,24,uncertain_connection,179.2,65.52,100.0,7.56,1.323,101.51,40.0,191548.62,437.1,191578.62,191588.62,191598.62,191608.62,191618.62,191628.62,191638.62,191648.62,191658.62,191668.62,191678.62,191688.62,191698.62,191708.62,191718.62,191728.62,191738.62,191748.62,191758.62,191768.62,191778.62,191788.62,191798.62
2026-03,2028-04,25,uncertain_connection,186.12,65.01,101.21,12.63,1.32,102.05,36.46,199190.87,459.9,199220.87,199230.87,199240.87,199250.87,199260.87,199270.87,199280.87,199290.87,199300.87,199310.87,199320.87,199330.87,199340.87,199350.87,199360.87,199370.87,199380.87,199390.87,199400.87,199410.87,199420.87,199430.87,199440.87
2026-03,2028-05,26,accelerated_ai_load,182.23,73.35,100.53,18.66,1.331,101.18,36.1,214373.5,480.52,214403.5,214413.5,214423.5,214433.5,214443.5,214453.5,214463.5,214473.5,214483.5,214493.5,214503.5,214513.5,214523.5,214533.5,214543.5,214553.5,214563.5,214573.5,214583.5,214593.5,214603.5,214613.5,214623.5
2026-03,2028-06,27,accelerated_ai_load,187.51,74.49,104.15,22.39,1.349,101.98,31.69,219835.06,503.29,219865.06,219875.06,219885.06,219895.06,219905.06,219915.06,219925.06,219935.06,219945.06,219955.06,219965.06,219975.06,219985.06,219995.06,220005.06,220015.06,220025.06,220035.06,220045.06,220055.06,220065.06,220075.06,220085.06
2026-03,2028-07,28,accelerated_ai_load,204.38,72.59,106.3,18.99,1.323,102.49,29.95,225428.23,521.05,225458.23,225468.23,225478.23,225488.23,225498.23,225508.23,225518.23,225528.23,225538.23,225548.23,225558.23,225568.23,225578.23,225588.23,225598.23,225608.23,225618.23,225628.23,225638.23,225648.23,225658.23,225668.23,225678.23
2026-03,2028-08,29,accelerated_ai_load,201.58,82.52,105.93,14.4,1.307,102.45,30.82,239707.09,530.76,239737.09,239747.09,239757.09,239767.09,239777.09,239787.09,239797.09,239807.09,239817.09,239827.09,239837.09,239847.09,239857.09,239867.09,239877.09,239887.09,239897.09,239907.09,239917.09,239927.09,239937.09,239947.09,239957.09
2026-03,2028-09,30,accelerated_ai_load,195.33,72.68,110.82,9.17,1.32,102.25,30.18,215320.66,480.46,215350.66,215360.66,215370.66,215380.66,215390.66,215400.66,215410.66,215420.66,215430.66,215440.66,215450.66,215460.66,215470.66,215480.66,215490.66,215500.66,215510.66,215520.66,215530.66,215540.66,215550.66,215560.66,215570.66
2026-03,2028-10,31,uncertain_connection,213.53,68.03,111.04,1.23,1.333,102.21,37.03,220225.08,502.25,220255.08,220265.08,220275.08,220285.08,220295.08,220305.08,220315.08,220325.08,220335.08,220345.08,220355.08,220365.08,220375.08,220385.08,220395.08,220405.08,220415.08,220425.08,220435.08,220445.08,220455.08,220465.08,220475.08
2026-03,2028-11,32,uncertain_connection,218.99,70.46,111.12,-0.96,1.32,101.83,34.37,226832.7,523.06,226862.7,226872.7,226882.7,226892.7,226902.7,226912.7,226922.7,226932.7,226942.7,226952.7,226962.7,226972.7,226982.7,226992.7,227002.7,227012.7,227022.7,227032.7,227042.7,227052.7,227062.7,227072.7,227082.7
2026-03,2028-12,33,uncertain_connection,213.67,65.23,112.92,-5.06,1.328,102.96,42.78,213107.06,495.2,213137.06,213147.06,213157.06,213167.06,213177.06,213187.06,213197.06,213207.06,213217.06,213227.06,213237.06,213247.06,213257.06,213267.06,213277.06,213287.06,213297.06,213307.06,213317.06,213327.06,213337.06,213347.06,213357.06
2026-03,2029-01,34,uncertain_connection,223.48,70.71,110.69,-4.81,1.323,102.71,42.15,232757.55,536.18,232787.55,232797.55,232807.55,232817.55,232827.55,232837.55,232847.55,232857.55,232867.55,232877.55,232887.55,232897.55,232907.55,232917.55,232927.55,232937.55,232947.55,232957.55,232967.55,232977.55,232987.55,232997.55,233007.55
2026-03,2029-02,35,uncertain_connection,231.06,61.3,109.44,1.48,1.315,103.23,45.04,216474.88,514.88,216504.88,216514.88,216524.88,216534.88,216544.88,216554.88,216564.88,216574.88,216584.88,216594.88,216604.88,216614.88,216624.88,216634.88,216644.88,216654.88,216664.88,216674.88,216684.88,216694.88,216704.88,216714.88,216724.88
2026-03,2029-03,36,uncertain_connection,231.71,70.46,109.76,7.85,1.319,102.68,42.31,238536.13,553.68,238566.13,238576.13,238586.13,238596.13,238606.13,238616.13,238626.13,238636.13,238646.13,238656.13,238666.13,238676.13,238686.13,238696.13,238706.13,238716.13,238726.13,238736.13,238746.13,238756.13,238766.13,238776.13,238786.13
2026-03,2029-04,37,uncertain_connection,234.95,67.79,109.92,13.47,1.326,103.75,42.5,237127.47,547.22,237157.47,237167.47,237177.47,237187.47,237197.47,237207.47,237217.47,237227.47,237237.47,237247.47,237257.47,237267.47,237277.47,237287.47,237297.47,237307.47,237317.47,237327.47,237337.47,237347.47,237357.47,237367.47,237377.47
2026-03,2029-05,38,accelerated_ai_load,236.65,80.02,106.2,19.69,1.326,103.64,43.15,270451.33,606.61,270481.33,270491.33,270501.33,270511.33,270521.33,270531.33,270541.33,270551.33,270561.33,270571.33,270581.33,270591.33,270601.33,270611.33,270621.33,270631.33,270641.33,270651.33,270661.33,270671.33,270681.33,270691.33,270701.33
2026-03,2029-06,39,accelerated_ai_load,245.42,76.65,105.51,21.19,1.333,103.46,35.15,270289.97,612.03,270319.97,270329.97,270339.97,270349.97,270359.97,270369.97,270379.97,270389.97,270399.97,270409.97,270419.97,270429.97,270439.97,270449.97,270459.97,270469.97,270479.97,270489.97,270499.97,270509.97,270519.97,270529.97,270539.97
2026-03,2029-07,40,accelerated_ai_load,244.65,84.18,102.96,19.13,1.323,103.89,38.84,284469.02,652.34,284499.02,284509.02,284519.02,284529.02,284539.02,284549.02,284559.02,284569.02,284579.02,284589.02,284599.02,284609.02,284619.02,284629.02,284639.02,284649.02,284659.02,284669.02,284679.02,284689.02,284699.02,284709.02,284719.02
2026-03,2029-08,41,accelerated_ai_load,256.54,87.19,104.26,14.06,1.313,104.41,34.66,299432.38,678.1,299462.38,299472.38,299482.38,299492.38,299502.38,299512.38,299522.38,299532.38,299542.38,299552.38,299562.38,299572.38,299582.38,299592.38,299602.38,299612.38,299622.38,299632.38,299642.38,299652.38,299662.38,299672.38,299682.38
2026-03,2029-09,42,accelerated_ai_load,255.29,87.76,103.86,8.8,1.341,104.5,35.46,303354.82,673.09,303384.82,303394.82,303404.82,303414.82,303424.82,303434.82,303444.82,303454.82,303464.82,303474.82,303484.82,303494.82,303504.82,303514.82,303524.82,303534.82,303544.82,303554.82,303564.82,303574.82,303584.82,303594.82,303604.82
2026-03,2029-10,43,accelerated_ai_load,264.14,94.16,105.3,1.88,1.323,104.14,35.27,321880.18,717.04,321910.18,321920.18,321930.18,321940.18,321950.18,321960.18,321970.18,321980.18,321990.18,322000.18,322010.18,322020.18,322030.18,322040.18,322050.18,322060.18,322070.18,322080.18,322090.18,322100.18,322110.18,322120.18,322130.18
2026-03,2029-11,44,accelerated_ai_load,264.49,84.07,107.86,-4.34,1.312,103.97,37.53,294375.14,669.48,294405.14,294415.14,294425.14,294435.14,294445.14,294455.14,294465.14,294475.14,294485.14,294495.14,294505.14,294515.14,294525.14,294535.14,294545.14,294555.14,294565.14,294575.14,294585.14,294595.14,294605.14,294615.14,294625.14
2026-03,2029-12,45,accelerated_ai_load,264.27,86.38,107.25,-3.73,1.32,104.17,40.89,299199.99,683.43,299229.99,299239.99,299249.99,299259.99,299269.99,299279.99,299289.99,299299.99,299309.99,299319.99,299329.99,299339.99,299349.99,299359.99,299369.99,299379.99,299389.99,299399.99,299409.99,299419.99,299429.99,299439.99,299449.99
2026-03,2030-01,46,accelerated_ai_load,268.5,79.46,108.8,-4.72,1.317,104.11,48.13,286483.98,656.32,286513.98,286523.98,286533.98,286543.98,286553.98,286563.98,286573.98,286583.98,286593.98,286603.98,286613.98,286623.98,286633.98,286643.98,286653.98,286663.98,286673.98,286683.98,286693.98,286703.98,286713.98,286723.98,286733.98
2026-03,2030-02,47,accelerated_ai_load,272.21,77.05,111.15,1.15,1.321,104.03,47.06,282822.83,661.42,282852.83,282862.83,282872.83,282882.83,282892.83,282902.83,282912.83,282922.83,282932.83,282942.83,282952.83,282962.83,282972.83,282982.83,282992.83,283002.83,283012.83,283022.83,283032.83,283042.83,283052.83,283062.83,283072.83
2026-03,2030-03,48,accelerated_ai_load,286.57,76.86,113.35,9.12,1.33,103.99,46.4,295866.61,678.75,295896.61,295906.61,295916.61,295926.61,295936.61,295946.61,295956.61,295966.61,295976.61,295986.61,295996.61,296006.61,296016.61,296026.61,296036.61,296046.61,296056.61,296066.61,296076.61,296086.61,296096.61,296106.61,296116.61
2026-03,2030-04,49,accelerated_ai_load,290.62,83.74,113.33,14.19,1.332,104.32,50.0,323084.97,735.18,323114.97,323124.97,323134.97,323144.97,323154.97,323164.97,323174.97,323184.97,323194.97,323204.97,323214.97,323224.97,323234.97,323244.97,323254.97,323264.97,323274.97,323284.97,323294.97,323304.97,323314.97,323324.97,323334.97
2026-03,2030-05,50,accelerated_ai_load,286.52,79.94,113.99,19.28,1.305,105.13,44.05,307225.2,706.9,307255.2,307265.2,307275.2,307285.2,307295.2,307305.2,307315.2,307325.2,307335.2,307345.2,307355.2,307365.2,307375.2,307385.2,307395.2,307405.2,307415.2,307425.2,307435.2,307445.2,307455.2,307465.2,307475.2
2026-03,2030-06,51,accelerated_ai_load,293.99,85.88,116.65,20.85,1.337,104.95,44.7,333089.01,751.66,333119.01,333129.01,333139.01,333149.01,333159.01,333169.01,333179.01,333189.01,333199.01,333209.01,333219.01,333229.01,333239.01,333249.01,333259.01,333269.01,333279.01,333289.01,333299.01,333309.01,333319.01,333329.01,333339.01
2026-03,2030-07,52,accelerated_ai_load,294.41,89.57,113.59,20.28,1.332,104.89,41.94,346072.23,786.12,346102.23,346112.23,346122.23,346132.23,346142.23,346152.23,346162.23,346172.23,346182.23,346192.23,346202.23,346212.23,346222.23,346232.23,346242.23,346252.23,346262.23,346272.23,346282.23,346292.23,346302.23,346312.23,346322.23
2026-03,2030-08,53,accelerated_ai_load,311.69,92.92,113.02,15.92,1.31,105.27,41.31,363230.1,814.3,363260.1,363270.1,363280.1,363290.1,363300.1,363310.1,363320.1,363330.1,363340.1,363350.1,363360.1,363370.1,363380.1,363390.1,363400.1,363410.1,363420.1,363430.1,363440.1,363450.1,363460.1,363470.1,363480.1
2026-03,2030-09,54,accelerated_ai_load,305.22,94.01,113.1,7.56,1.322,105.37,41.76,361698.55,817.01,361728.55,361738.55,361748.55,361758.55,361768.55,361778.55,361788.55,361798.55,361808.55,361818.55,361828.55,361838.55,361848.55,361858.55,361868.55,361878.55,361888.55,361898.55,361908.55,361918.55,361928.55,361938.55,361948.55
2026-03,2030-10,55,accelerated_ai_load,307.37,96.0,109.02,0.49,1.312,104.86,41.79,365170.33,825.66,365200.33,365210.33,365220.33,365230.33,365240.33,365250.33,365260.33,365270.33,365280.33,365290.33,365300.33,365310.33,365320.33,365330.33,365340.33,365350.33,365360.33,365370.33,365380.33,365390.33,365400.33,365410.33,365420.33
2026-03,2030-11,56,accelerated_ai_load,315.36,96.0,109.02,-2.87,1.347,105.63,43.29,378407.28,858.03,378437.28,378447.28,378457.28,378467.28,378477.28,378487.28,378497.28,378507.28,378517.28,378527.28,378537.28,378547.28,378557.28,378567.28,378577.28,378587.28,378597.28,378607.28,378617.28,378627.28,378637.28,378647.28,378657.28
2026-03,2030-12,57,accelerated_ai_load,316.47,96.0,107.56,-4.27,1.291,105.69,46.82,367258.43,832.78,367288.43,367298.43,367308.43,367318.43,367328.43,367338.43,367348.43,367358.43,367368.43,367378.43,367388.43,367398.43,367408.43,367418.43,367428.43,367438.43,367448.43,367458.43,367468.43,367478.43,367488.43,367498.43,367508.43
2026-03,2031-01,58,accelerated_ai_load,327.91,95.53,105.92,-2.6,1.338,106.07,53.18,387978.26,874.03,388008.26,388018.26,388028.26,388038.26,388048.26,388058.26,388068.26,388078.26,388088.26,388098.26,388108.26,388118.26,388128.26,388138.26,388148.26,388158.26,388168.26,388178.26,388188.26,388198.26,388208.26,388218.26,388228.26
2026-03,2031-02,59,accelerated_ai_load,326.63,95.04,106.41,1.23,1.316,105.83,56.4,385284.07,865.85,385314.07,385324.07,385334.07,385344.07,385354.07,385364.07,385374.07,385384.07,385394.07,385404.07,385414.07,385424.07,385434.07,385444.07,385454.07,385464.07,385474.07,385484.07,385494.07,385504.07,385514.07,385524.07,385534.07
2026-03,2031-03,60,accelerated_ai_load,329.8,89.88,105.48,9.6,1.32,106.57,47.98,370782.81,838.72,370812.81,370822.81,370832.81,370842.81,370852.81,370862.81,370872.81,370882.81,370892.81,370902.81,370912.81,370922.81,370932.81,370942.81,370952.81,370962.81,370972.81,370982.81,370992.81,371002.81,371012.81,371022.81,371032.81
2026-03,2031-04,61,accelerated_ai_load,334.06,85.46,108.53,15.79,1.317,106.01,51.37,361937.03,824.3,361967.03,361977.03,361987.03,361997.03,362007.03,362017.03,362027.03,362037.03,362047.03,362057.03,362067.03,362077.03,362087.03,362097.03,362107.03,362117.03,362127.03,362137.03,362147.03,362157.03,362167.03,362177.03,362187.03
2026-03,2031-05,62,accelerated_ai_load,331.24,89.81,107.49,21.16,1.326,106.52,51.32,378853.18,853.68,378883.18,378893.18,378903.18,378913.18,378923.18,378933.18,378943.18,378953.18,378963.18,378973.18,378983.18,378993.18,379003.18,379013.18,379023.18,379033.18,379043.18,379053.18,379063.18,379073.18,379083.18,379093.18,379103.18
2026-03,2031-06,63,accelerated_ai_load,351.59,96.0,109.72,20.8,1.336,106.0,50.58,419908.97,951.05,419938.97,419948.97,419958.97,419968.97,419978.97,419988.97,419998.97,420008.97,420018.97,420028.97,420038.97,420048.97,420058.97,420068.97,420078.97,420088.97,420098.97,420108.97,420118.97,420128.97,420138.97,420148.97,420158.97
2026-03,2031-07,64,accelerated_ai_load,339.89,94.68,112.86,18.82,1.319,106.63,42.62,398138.51,895.46,398168.51,398178.51,398188.51,398198.51,398208.51,398218.51,398228.51,398238.51,398248.51,398258.51,398268.51,398278.51,398288.51,398298.51,398308.51,398318.51,398328.51,398338.51,398348.51,398358.51,398368.51,398378.51,398388.51
2026-03,2031-08,65,accelerated_ai_load,352.68,96.0,114.46,15.21,1.325,106.53,47.45,412674.69,935.85,412704.69,412714.69,412724.69,412734.69,412744.69,412754.69,412764.69,412774.69,412784.69,412794.69,412804.69,412814.69,412824.69,412834.69,412844.69,412854.69,412864.69,412874.69,412884.69,412894.69,412904.69,412914.69,412924.69
2026-03,2031-09,66,accelerated_ai_load,359.05,96.0,114.25,9.15,1.315,106.54,45.73,420955.15,944.76,420985.15,420995.15,421005.15,421015.15,421025.15,421035.15,421045.15,421055.15,421065.15,421075.15,421085.15,421095.15,421105.15,421115.15,421125.15,421135.15,421145.15,421155.15,421165.15,421175.15,421185.15,421195.15,421205.15
2026-03,2031-10,67,accelerated_ai_load,346.43,96.0,115.27,-0.3,1.32,107.15,47.31,405742.56,921.38,405772.56,405782.56,405792.56,405802.56,405812.56,405822.56,405832.56,405842.56,405852.56,405862.56,405872.56,405882.56,405892.56,405902.56,405912.56,405922.56,405932.56,405942.56,405952.56,405962.56,405972.56,405982.56,405992.56
2026-03,2031-11,68,accelerated_ai_load,367.95,96.0,117.92,-1.57,1.326,106.95,48.13,426297.89,969.56,426327.89,426337.89,426347.89,426357.89,426367.89,426377.89,426387.89,426397.89,426407.89,426417.89,426427.89,426437.89,426447.89,426457.89,426467.89,426477.89,426487.89,426497.89,426507.89,426517.89,426527.89,426537.89,426547.89
2026-03,2031-12,69,accelerated_ai_load,366.59,96.0,117.1,-5.09,1.316,106.97,53.64,423089.82,950.82,423119.82,423129.82,423139.82,423149.82,423159.82,423169.82,423179.82,423189.82,423199.82,423209.82,423219.82,423229.82,423239.82,423249.82,423259.82,423269.82,423279.82,423289.82,423299.82,423309.82,423319.82,423329.82,423339.82
2026-03,2032-01,70,accelerated_ai_load,366.19,96.0,116.95,-3.79,1.323,107.81,56.28,422355.82,965.44,422385.82,422395.82,422405.82,422415.82,422425.82,422435.82,422445.82,422455.82,422465.82,422475.82,422485.82,422495.82,422505.82,422515.82,422525.82,422535.82,422545.82,422555.82,422565.82,422575.82,422585.82,422595.82,422605.82
2026-03,2032-02,71,accelerated_ai_load,363.83,96.0,116.08,0.38,1.315,106.72,55.63,419390.98,944.37,419420.98,419430.98,419440.98,419450.98,419460.98,419470.98,419480.98,419490.98,419500.98,419510.98,419520.98,419530.98,419540.98,419550.98,419560.98,419570.98,419580.98,419590.98,419600.98,419610.98,419620.98,419630.98,419640.98
2026-03,2032-03,72,accelerated_ai_load,381.11,96.0,114.58,7.46,1.33,107.36,51.94,444421.33,1011.1,444451.33,444461.33,444471.33,444481.33,444491.33,444501.33,444511.33,444521.33,444531.33,444541.33,444551.33,444561.33,444571.33,444581.33,444591.33,444601.33,444611.33,444621.33,444631.33,444641.33,444651.33,444661.33,444671.33
2026-03,2032-04,73,accelerated_ai_load,389.5,96.0,113.98,14.43,1.296,107.37,54.05,445658.51,1004.68,445688.51,445698.51,445708.51,445718.51,445728.51,445738.51,445748.51,445758.51,445768.51,445778.51,445788.51,445798.51,445808.51,445818.51,445828.51,445838.51,445848.51,445858.51,445868.51,445878.51,445888.51,445898.51,445908.51
2026-03,2032-05,74,accelerated_ai_load,386.11,96.0,110.27,19.11,1.324,107.59,52.6,447320.68,1001.85,447350.68,447360.68,447370.68,447380.68,447390.68,447400.68,447410.68,447420.68,447430.68,447440.68,447450.68,447460.68,447470.68,447480.68,447490.68,447500.68,447510.68,447520.68,447530.68,447540.68,447550.68,447560.68,447570.68
2026-03,2032-06,75,accelerated_ai_load,390.86,96.0,109.36,19.9,1.31,107.16,52.69,451699.63,1017.28,451729.63,451739.63,451749.63,451759.63,451769.63,451779.63,451789.63,451799.63,451809.63,451819.63,451829.63,451839.63,451849.63,451859.63,451869.63,451879.63,451889.63,451899.63,451909.63,451919.63,451929.63,451939.63,451949.63
2026-03,2032-07,76,accelerated_ai_load,396.62,96.0,109.12,20.42,1.323,106.83,49.16,460671.5,1035.15,460701.5,460711.5,460721.5,460731.5,460741.5,460751.5,460761.5,460771.5,460781.5,460791.5,460801.5,460811.5,460821.5,460831.5,460841.5,460851.5,460861.5,460871.5,460881.5,460891.5,460901.5,460911.5,460921.5
2026-03,2032-08,77,accelerated_ai_load,402.41,96.0,107.74,13.68,1.305,108.34,53.92,460052.36,1047.24,460082.36,460092.36,460102.36,460112.36,460122.36,460132.36,460142.36,460152.36,460162.36,460172.36,460182.36,460192.36,460202.36,460212.36,460222.36,460232.36,460242.36,460252.36,460262.36,460272.36,460282.36,460292.36,460302.36
2026-03,2032-09,78,accelerated_ai_load,411.72,96.0,109.92,10.32,1.302,107.86,51.44,464627.47,1037.71,464657.47,464667.47,464677.47,464687.47,464697.47,464707.47,464717.47,464727.47,464737.47,464747.47,464757.47,464767.47,464777.47,464787.47,464797.47,464807.47,464817.47,464827.47,464837.47,464847.47,464857.47,464867.47,464877.47
2026-03,2032-10,79,accelerated_ai_load,403.87,96.0,108.22,1.95,1.311,107.64,52.82,457930.82,1027.97,457960.82,457970.82,457980.82,457990.82,458000.82,458010.82,458020.82,458030.82,458040.82,458050.82,458060.82,458070.82,458080.82,458090.82,458100.82,458110.82,458120.82,458130.82,458140.82,458150.82,458160.82,458170.82,458180.82
2026-03,2032-11,80,accelerated_ai_load,416.29,96.0,111.25,-3.88,1.318,108.27,58.72,470651.29,1066.58,470681.29,470691.29,470701.29,470711.29,470721.29,470731.29,470741.29,470751.29,470761.29,470771.29,470781.29,470791.29,470801.29,470811.29,470821.29,470831.29,470841.29,470851.29,470861.29,470871.29,470881.29,470891.29,470901.29
2026-03,2032-12,81,accelerated_ai_load,421.45,96.0,114.47,-4.86,1.316,108.45,57.3,476429.2,1086.16,476459.2,476469.2,476479.2,476489.2,476499.2,476509.2,476519.2,476529.2,476539.2,476549.2,476559.2,476569.2,476579.2,476589.2,476599.2,476609.2,476619.2,476629.2,476639.2,476649.2,476659.2,476669.2,476679.2
2026-03,2033-01,82,accelerated_ai_load,422.74,96.0,114.47,-5.35,1.331,108.57,62.37,483040.5,1087.44,483070.5,483080.5,483090.5,483100.5,483110.5,483120.5,483130.5,483140.5,483150.5,483160.5,483170.5,483180.5,483190.5,483200.5,483210.5,483220.5,483230.5,483240.5,483250.5,483260.5,483270.5,483280.5,483290.5
2026-03,2033-02,83,accelerated_ai_load,435.78,96.0,116.01,3.71,1.312,108.52,62.96,488347.82,1108.23,488377.82,488387.82,488397.82,488407.82,488417.82,488427.82,488437.82,488447.82,488457.82,488467.82,488477.82,488487.82,488497.82,488507.82,488517.82,488527.82,488537.82,488547.82,488557.82,488567.82,488577.82,488587.82,488597.82
2026-03,2033-03,84,accelerated_ai_load,429.24,96.0,119.55,7.71,1.347,108.92,61.97,495833.82,1115.84,495863.82,495873.82,495883.82,495893.82,495903.82,495913.82,495923.82,495933.82,495943.82,495953.82,495963.82,495973.82,495983.82,495993.82,496003.82,496013.82,496023.82,496033.82,496043.82,496053.82,496063.82,496073.82,496083.82
2026-03,2033-04,85,accelerated_ai_load,443.06,96.0,118.25,15.81,1.313,108.61,60.22,499386.18,1134.3,499416.18,499426.18,499436.18,499446.18,499456.18,499466.18,499476.18,499486.18,499496.18,499506.18,499516.18,499526.18,499536.18,499546.18,499556.18,499566.18,499576.18,499586.18,499596.18,499606.18,499616.18,499626.18,499636.18
