forecast_cycle,forecast_period,months_ahead,scenario,feature_1_data_center_committed_mw,feature_2_grid_connection_probability_pct,feature_3_power_price_index,feature_4_avg_temperature_c,feature_5_cooling_efficiency_pue,feature_6_industrial_growth_index,feature_7_renewable_availability_pct,target_1_total_load_mwh,target_2_peak_load_mw
2026-03,2029-03,36,uncertain_connection,231.71,70.46,109.76,7.85,1.319,102.68,42.31,238536.13,553.68
2026-03,2029-04,37,uncertain_connection,234.95,67.79,109.92,13.47,1.326,103.75,42.5,237127.47,547.22
2026-03,2029-05,38,accelerated_ai_load,236.65,80.02,106.2,19.69,1.326,103.64,43.15,270451.33,606.61
2026-03,2029-06,39,accelerated_ai_load,245.42,76.65,105.51,21.19,1.333,103.46,35.15,270289.97,612.03
2026-03,2029-07,40,accelerated_ai_load,244.65,84.18,102.96,19.13,1.323,103.89,38.84,284469.02,652.34
2026-03,2029-08,41,accelerated_ai_load,256.54,87.19,104.26,14.06,1.313,104.41,34.66,299432.38,678.1
2026-03,2029-09,42,accelerated_ai_load,255.29,87.76,103.86,8.8,1.341,104.5,35.46,303354.82,673.09
2026-03,2029-10,43,accelerated_ai_load,264.14,94.16,105.3,1.88,1.323,104.14,35.27,321880.18,717.04
2026-03,2029-11,44,accelerated_ai_load,264.49,84.07,107.86,-4.34,1.312,103.97,37.53,294375.14,669.48
2026-03,2029-12,45,accelerated_ai_load,264.27,86.38,107.25,-3.73,1.32,104.17,40.89,299199.99,683.43
2026-06,2027-01,7,uncertain_connection,139.3,53.86,104.54,-4.72,1.314,100.29,33.73,146933.0,337.81
2026-06,2027-02,8,uncertain_connection,143.01,58.49,106.89,1.15,1.318,100.21,32.66,154464.38,364.52
2026-06,2027-03,9,uncertain_connection,157.37,63.17,109.09,9.12,1.327,100.17,32.0,171672.7,389.89
2026-06,2027-04,10,uncertain_connection,161.42,71.79,109.07,14.19,1.329,100.5,35.6,192283.16,433.56
2026-06,2027-05,11,uncertain_connection,157.32,66.25,109.73,19.28,1.302,101.31,29.65,181457.13,415.0
2026-06,2027-06,12,uncertain_connection,164.79,67.32,112.39,20.85,1.334,101.13,30.3,188299.79,423.04
2026-06,2027-07,13,uncertain_connection,165.21,63.98,109.33,20.28,1.329,101.07,27.54,185987.87,427.97
2026-06,2027-08,14,uncertain_connection,182.49,59.51,108.76,15.92,1.307,101.45,26.91,184039.95,419.27
2026-06,2027-09,15,uncertain_connection,176.02,53.57,108.84,7.56,1.319,101.55,27.36,169848.96,397.54
2026-06,2027-10,16,uncertain_connection,178.17,56.69,104.76,0.49,1.309,101.04,27.39,173376.58,406.3
2026-06,2027-11,17,uncertain_connection,186.16,54.35,104.76,-2.87,1.344,101.81,28.89,174453.21,415.19
2026-06,2027-12,18,uncertain_connection,187.27,58.37,103.3,-4.27,1.288,101.87,32.42,177908.56,418.14
2026-06,2028-01,19,uncertain_connection,198.71,55.09,101.66,-2.6,1.335,102.25,38.78,183675.34,430.52
2026-06,2028-02,20,uncertain_connection,197.43,61.63,102.15,1.23,1.313,102.01,42.0,198507.04,456.18
2026-06,2028-03,21,uncertain_connection,200.6,64.29,101.22,9.6,1.317,102.75,33.58,203605.83,466.88
2026-06,2028-04,22,uncertain_connection,204.86,66.9,104.27,15.79,1.314,102.19,36.97,213236.45,488.13
2026-06,2028-05,23,accelerated_ai_load,202.04,76.13,103.23,21.16,1.323,102.7,36.92,233611.11,524.18
2026-06,2028-06,24,accelerated_ai_load,222.39,85.35,105.46,20.8,1.333,102.18,36.18,269690.26,611.95
2026-06,2028-07,25,accelerated_ai_load,210.69,80.99,108.6,18.82,1.316,102.81,28.22,246540.04,553.69
2026-06,2028-08,26,accelerated_ai_load,223.48,78.59,110.2,15.21,1.322,102.71,33.05,249182.11,571.12
2026-06,2028-09,27,accelerated_ai_load,229.85,76.75,109.99,9.15,1.312,102.72,31.33,253527.71,572.44
2026-06,2028-10,28,accelerated_ai_load,217.23,75.01,111.01,-0.3,1.317,103.33,32.91,236427.21,545.41
2026-06,2028-11,29,accelerated_ai_load,238.75,72.3,113.66,-1.57,1.323,103.13,33.73,245849.03,572.1
2026-06,2028-12,30,accelerated_ai_load,237.39,73.97,112.84,-5.09,1.313,103.15,39.24,247898.92,563.51
2026-06,2029-01,31,uncertain_connection,236.99,68.98,112.69,-3.79,1.32,103.99,41.88,235214.02,555.05
2026-06,2029-02,32,uncertain_connection,234.63,64.02,111.82,0.38,1.312,102.9,41.23,222894.42,515.93
2026-06,2029-03,33,accelerated_ai_load,251.91,74.8,110.32,7.46,1.327,103.54,37.54,266467.86,618.45
2026-06,2029-04,34,accelerated_ai_load,260.3,81.53,109.72,14.43,1.293,103.55,39.65,286656.15,648.62
2026-06,2029-05,35,accelerated_ai_load,256.91,84.14,106.01,19.11,1.321,103.77,38.2,291909.18,652.72
2026-06,2029-06,36,accelerated_ai_load,261.66,90.75,105.1,19.9,1.307,103.34,38.29,313530.63,701.44
2026-06,2029-07,37,accelerated_ai_load,267.42,88.29,104.86,20.42,1.32,103.01,34.76,314700.63,704.25
2026-06,2029-08,38,accelerated_ai_load,273.21,94.04,103.48,13.68,1.302,104.52,39.52,330247.61,747.55
2026-06,2029-09,39,accelerated_ai_load,282.52,96.0,105.66,10.32,1.299,104.04,37.04,340120.89,748.25
2026-06,2029-10,40,accelerated_ai_load,274.67,96.0,103.96,1.95,1.308,103.82,38.42,332623.8,736.96
2026-06,2029-11,41,accelerated_ai_load,287.09,86.04,106.99,-3.88,1.315,104.45,44.32,317639.24,722.09
2026-06,2029-12,42,accelerated_ai_load,292.25,87.45,110.21,-4.86,1.313,104.63,42.9,326985.32,748.56
2026-09,2027-01,4,uncertain_connection,164.34,58.94,105.95,-5.35,1.325,100.93,33.57,169949.74,384.81
2026-09,2027-02,5,uncertain_connection,177.38,65.67,107.49,3.71,1.306,100.88,34.16,186079.25,426.49
2026-09,2027-03,6,accelerated_ai_load,170.84,76.07,111.03,7.71,1.341,101.28,33.17,205217.76,456.6
2026-09,2027-04,7,uncertain_connection,184.66,70.55,109.73,15.81,1.307,100.97,31.42,203266.22,464.44
2026-09,2027-05,8,accelerated_ai_load,169.85,74.16,110.87,20.82,1.35,101.77,30.95,207404.33,472.12
2026-09,2027-06,9,uncertain_connection,178.53,68.88,111.31,19.72,1.312,101.31,28.11,200533.14,463.94
2026-09,2027-07,10,accelerated_ai_load,189.74,72.6,111.31,19.23,1.309,101.96,24.36,214820.19,486.76
2026-09,2027-08,11,uncertain_connection,194.06,63.34,110.1,14.82,1.313,101.45,26.44,196331.69,451.33
2026-09,2027-09,12,uncertain_connection,204.99,63.78,107.36,7.35,1.312,102.39,29.69,202837.21,463.48
2026-09,2027-10,13,uncertain_connection,200.5,62.9,106.34,2.44,1.31,102.0,29.81,198738.31,459.04
2026-09,2027-11,14,uncertain_connection,207.1,66.39,106.11,-1.86,1.301,101.77,31.55,205194.09,474.35
2026-09,2027-12,15,uncertain_connection,219.37,63.91,105.58,-6.93,1.316,102.39,32.28,213108.03,491.54
2026-09,2028-01,16,uncertain_connection,219.4,62.99,103.61,-3.97,1.314,101.53,36.19,210528.6,486.18
2026-09,2028-02,17,uncertain_connection,226.31,61.06,103.11,2.18,1.331,102.49,40.01,215828.38,501.14
2026-09,2028-03,18,accelerated_ai_load,221.23,73.37,102.76,9.37,1.296,103.0,34.17,235316.95,542.53
2026-09,2028-04,19,accelerated_ai_load,224.98,81.65,103.63,13.83,1.308,102.76,36.17,257563.77,591.01
2026-09,2028-05,20,accelerated_ai_load,232.48,82.18,103.71,18.99,1.296,102.38,32.24,263869.82,597.51
2026-09,2028-06,21,accelerated_ai_load,218.28,90.98,107.21,20.31,1.311,102.89,33.44,277618.94,616.39
2026-09,2028-07,22,accelerated_ai_load,233.63,81.88,108.47,20.0,1.299,103.38,33.26,265842.41,607.98
2026-09,2028-08,23,accelerated_ai_load,233.8,78.51,110.75,14.64,1.315,102.59,30.48,260142.81,587.32
2026-09,2028-09,24,accelerated_ai_load,251.0,84.72,110.86,8.34,1.319,103.02,33.16,284461.94,647.74
2026-09,2028-10,25,accelerated_ai_load,250.61,80.69,114.5,2.29,1.317,104.02,33.21,272770.86,620.31
2026-09,2028-11,26,accelerated_ai_load,256.76,73.43,113.38,-2.63,1.311,104.21,34.2,260286.02,599.25
2026-09,2028-12,27,uncertain_connection,268.52,70.99,113.76,-6.15,1.325,104.61,37.36,264819.24,613.75
2026-09,2029-01,28,accelerated_ai_load,268.54,74.67,112.92,-4.09,1.312,103.84,39.09,271232.09,623.04
2026-09,2029-02,29,accelerated_ai_load,267.47,81.98,115.5,3.17,1.311,104.39,40.9,292574.18,671.81
2026-09,2029-03,30,accelerated_ai_load,270.08,80.97,111.56,9.02,1.323,103.96,42.74,296689.72,676.65
2026-09,2029-04,31,accelerated_ai_load,281.63,86.13,111.22,15.71,1.311,104.5,40.25,312389.21,709.97
2026-09,2029-05,32,accelerated_ai_load,279.44,91.71,109.2,19.12,1.303,104.25,38.95,330491.76,745.8
2026-09,2029-06,33,accelerated_ai_load,282.48,95.88,106.88,21.45,1.343,104.49,39.92,355591.29,791.87
2026-09,2029-07,34,accelerated_ai_load,285.78,96.0,105.14,19.65,1.318,104.77,36.52,351448.62,794.88
2026-09,2029-08,35,accelerated_ai_load,293.71,94.05,105.66,15.36,1.324,104.75,37.32,351289.9,799.3
2026-09,2029-09,36,accelerated_ai_load,295.64,96.0,103.56,9.92,1.314,105.19,33.24,357213.0,791.99
2026-09,2029-10,37,accelerated_ai_load,306.53,96.0,107.7,2.87,1.31,104.92,43.3,362721.8,823.79
2026-09,2029-11,38,accelerated_ai_load,303.43,96.0,109.11,-4.16,1.3,105.05,42.08,357493.31,810.68
2026-09,2029-12,39,accelerated_ai_load,304.7,96.0,108.62,-4.63,1.301,105.13,45.32,358690.36,807.89
2026-12,2027-01,1,uncertain_connection,184.62,69.89,106.61,-2.98,1.306,101.23,30.35,195985.46,449.4
2026-12,2027-02,2,accelerated_ai_load,189.75,73.0,107.41,0.87,1.324,101.5,34.92,209413.46,476.44
2026-12,2027-03,3,accelerated_ai_load,198.79,81.04,111.18,8.1,1.309,102.39,33.07,229920.45,522.47
2026-12,2027-04,4,accelerated_ai_load,192.27,75.06,110.34,13.77,1.324,102.12,34.41,218680.43,500.72
2026-12,2027-05,5,accelerated_ai_load,196.87,74.86,111.95,18.9,1.291,102.59,27.71,219624.17,495.47
2026-12,2027-06,6,accelerated_ai_load,202.97,81.42,113.75,20.91,1.324,101.44,23.14,240720.15,537.28
2026-12,2027-07,7,accelerated_ai_load,208.63,75.04,114.5,20.16,1.301,102.29,27.55,229952.26,520.4
2026-12,2027-08,8,accelerated_ai_load,216.08,80.16,111.01,14.12,1.308,102.26,22.53,243830.18,553.15
2026-12,2027-09,9,accelerated_ai_load,220.58,77.14,110.04,7.54,1.316,102.46,30.87,242375.4,554.18
2026-12,2027-10,10,uncertain_connection,225.5,67.18,107.94,0.68,1.306,102.18,29.66,220673.83,510.85
2026-12,2027-11,11,uncertain_connection,226.61,68.54,105.88,-1.55,1.307,102.3,31.21,225404.2,526.32
2026-12,2027-12,12,uncertain_connection,231.27,68.81,105.6,-2.98,1.315,102.82,33.52,230711.57,533.35
2026-12,2028-01,13,accelerated_ai_load,237.19,72.59,104.74,-2.84,1.326,102.78,37.38,244239.44,560.52
2026-12,2028-02,14,accelerated_ai_load,237.34,73.29,105.22,1.69,1.32,102.87,38.43,248877.08,572.44
2026-12,2028-03,15,accelerated_ai_load,251.13,77.85,104.35,7.99,1.325,102.71,38.25,269268.18,617.98
2026-12,2028-04,16,accelerated_ai_load,241.14,83.84,105.35,14.08,1.313,103.37,37.65,275481.93,630.6
2026-12,2028-05,17,accelerated_ai_load,257.83,87.48,106.4,17.89,1.324,103.55,33.33,303364.73,690.55
2026-12,2028-06,18,accelerated_ai_load,257.6,91.86,109.08,21.87,1.339,102.93,32.28,319192.45,709.94
2026-12,2028-07,19,accelerated_ai_load,266.03,96.0,111.14,20.12,1.305,103.37,31.61,328213.69,730.2
2026-12,2028-08,20,accelerated_ai_load,277.06,94.21,113.28,13.85,1.328,103.71,30.92,336054.33,745.2
2026-12,2028-09,21,accelerated_ai_load,260.34,92.14,112.8,7.78,1.33,104.69,31.54,315534.54,701.78
2026-12,2028-10,22,accelerated_ai_load,277.05,92.27,116.03,0.84,1.301,104.75,35.82,325840.5,732.29
2026-12,2028-11,23,accelerated_ai_load,277.34,86.57,117.13,-2.81,1.315,103.13,36.87,308741.04,702.54
2026-12,2028-12,24,accelerated_ai_load,275.26,90.56,115.3,-4.3,1.321,103.83,41.76,319895.97,731.39
2026-12,2029-01,25,accelerated_ai_load,287.42,85.71,113.12,-2.83,1.313,103.71,41.34,315635.04,717.21
2026-12,2029-02,26,accelerated_ai_load,289.33,80.08,115.92,2.46,1.308,104.05,45.42,303308.48,705.31
2026-12,2029-03,27,accelerated_ai_load,298.23,86.1,113.95,7.93,1.306,104.64,40.86,327942.36,748.52
2026-12,2029-04,28,accelerated_ai_load,295.49,91.64,112.87,13.93,1.327,104.46,39.65,346589.52,774.22
2026-12,2029-05,29,accelerated_ai_load,295.96,91.44,109.98,18.44,1.325,104.68,38.75,348030.15,786.85
2026-12,2029-06,30,accelerated_ai_load,308.13,96.0,109.8,22.49,1.347,105.0,38.72,379560.8,847.3
2026-12,2029-07,31,accelerated_ai_load,315.12,96.0,108.39,18.53,1.318,104.52,34.3,379427.06,851.66
2026-12,2029-08,32,accelerated_ai_load,308.64,96.0,107.58,15.46,1.309,104.82,34.37,367386.45,825.95
2026-12,2029-09,33,accelerated_ai_load,316.73,96.0,106.96,9.04,1.309,105.3,37.0,374821.16,853.42
2026-12,2029-10,34,accelerated_ai_load,321.28,96.0,108.22,2.15,1.302,105.1,41.77,375299.62,847.29
2026-12,2029-11,35,accelerated_ai_load,329.66,96.0,110.68,-1.48,1.311,105.87,43.09,388605.6,876.98
2026-12,2029-12,36,accelerated_ai_load,335.37,96.0,111.83,-5.19,1.308,106.07,43.92,389270.3,884.21
