UDDID,Year,Quarter,Loc,CARB,CO2_ENERGY,WPO
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2011,1,CAN,39.18767,135760.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2011,2,CAN,39.33397,136231.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2011,3,CAN,39.38269,136351.7,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2011,4,CAN,39.33382,136121.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2012,1,CAN,38.76613,133968.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2012,2,CAN,38.69057,133666.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2012,3,CAN,38.68591,133643.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2012,4,CAN,38.75215,133898.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2013,1,CAN,39.0967,135266,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2013,2,CAN,39.22178,135745.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2013,3,CAN,39.33478,136171.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2013,4,CAN,39.43573,136542,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2014,1,CAN,39.58541,137074,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2014,2,CAN,39.63791,137249.7,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2014,3,CAN,39.65401,137284.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2014,4,CAN,39.63373,137179.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2015,1,CAN,39.4636,136497.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2015,2,CAN,39.41592,136284.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2015,3,CAN,39.37724,136105.2,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2015,4,CAN,39.34756,135959.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2016,1,CAN,39.1532,135189.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2016,2,CAN,39.21099,135373.7,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2016,3,CAN,39.34725,135854.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2016,4,CAN,39.56198,136631.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2017,1,CAN,40.01475,138333,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2017,2,CAN,40.3226,139452,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2017,3,CAN,40.64509,140616.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2017,4,CAN,40.98223,141826.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2018,1,CAN,41.65855,144274,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2018,2,CAN,41.89516,145097.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2018,3,CAN,42.01659,145489.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2018,4,CAN,42.02285,145449.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2019,1,CAN,42.20327,145941,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2019,2,CAN,41.86346,144653,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2019,3,CAN,41.29273,142548.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2019,4,CAN,40.4911,139627.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2020,1,CAN,38.07772,130942.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2020,2,CAN,37.36661,128367.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2020,3,CAN,36.97694,126953.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2020,4,CAN,36.9087,126701.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2021,1,CAN,37.97661,130529.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2021,2,CAN,38.22535,131435.2,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2021,3,CAN,38.46963,132336.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2021,4,CAN,38.70945,133233.2,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2022,1,CAN,39.0845,134674.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2022,2,CAN,39.25953,135342.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2022,3,CAN,39.37424,135785.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2022,4,CAN,39.42861,136003.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2023,1,CAN,39.42265,135997.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2023,2,CAN,39.35637,135766.7,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2023,3,CAN,39.22975,135311.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2023,4,CAN,39.0428,134631.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2024,1,CAN,39.54919,136545,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2024,2,CAN,39.48597,136243.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2024,3,CAN,39.45861,136181.7,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2024,4,CAN,39.45732,136167.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2025,1,CAN,39.41314,135936.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2025,2,CAN,39.34163,135762.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2025,3,CAN,39.24094,135538.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2025,4,CAN,39.17659,135406.2,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2026,1,CAN,39.14885,135371.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2026,2,CAN,39.12059,135294.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2026,3,CAN,39.10321,135214.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2026,4,CAN,39.08538,135085.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2027,1,CAN,39.02641,134793.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2027,2,CAN,38.96906,134519.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2027,3,CAN,38.92646,134326.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2027,4,CAN,38.90507,134225.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2028,1,CAN,38.89647,134175.2,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2028,2,CAN,38.86856,134055.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2028,3,CAN,38.83287,133906.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2028,4,CAN,38.80434,133779.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2029,1,CAN,38.75096,133562,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2029,2,CAN,38.70154,133355.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2029,3,CAN,38.63325,133081,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2029,4,CAN,38.56182,132794.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2030,1,CAN,38.48814,132498.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2030,2,CAN,38.40824,132181.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2030,3,CAN,38.31993,131833.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2030,4,CAN,38.22625,131466.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2031,1,CAN,38.12786,131081.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2031,2,CAN,38.03093,130700.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2031,3,CAN,37.89314,130168.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2031,4,CAN,37.7702,129689.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2032,1,CAN,37.67571,129316.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2032,2,CAN,37.58942,128974.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2032,3,CAN,37.48746,128576.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2032,4,CAN,37.36398,128099.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2033,1,CAN,37.25662,127681.2,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2033,2,CAN,37.14999,127263.2,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2033,3,CAN,37.01164,126728.2,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2033,4,CAN,36.88549,126236.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2034,1,CAN,36.78403,125835.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2034,2,CAN,36.69191,125468.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2034,3,CAN,36.56991,124991.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2034,4,CAN,36.46294,124569.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2035,1,CAN,36.37487,124217,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2035,2,CAN,36.29245,123886.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2035,3,CAN,36.17639,123433.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2035,4,CAN,36.07421,123030.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2036,1,CAN,35.97843,122650.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2036,2,CAN,35.88478,122279.7,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2036,3,CAN,35.76373,121809.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2036,4,CAN,35.64769,121355,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2037,1,CAN,35.54599,120952.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2037,2,CAN,35.45225,120578.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2037,3,CAN,35.32037,120063.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2037,4,CAN,35.20417,119607.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2038,1,CAN,35.09883,119191.2,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2038,2,CAN,34.99791,118790,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2038,3,CAN,34.86152,118258.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2038,4,CAN,34.74235,117789.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2039,1,CAN,34.64288,117393.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2039,2,CAN,34.54948,117021.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2039,3,CAN,34.42008,116516.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2039,4,CAN,34.30787,116074,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2040,1,CAN,34.21393,115699.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2040,2,CAN,34.12551,115345.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2040,3,CAN,34.00126,114869.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2040,4,CAN,33.89434,114448.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2041,1,CAN,33.80245,114081.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2041,2,CAN,33.71721,113739.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2041,3,CAN,33.60152,113286.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2041,4,CAN,33.5007,112888.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2042,1,CAN,33.41511,112544.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2042,2,CAN,33.33561,112220.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2042,3,CAN,33.22831,111793.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2042,4,CAN,33.13411,111413.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2043,1,CAN,33.06277,111118,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2043,2,CAN,33.00025,110854.7,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2043,3,CAN,32.91829,110520.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2043,4,CAN,32.84965,110235.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2044,1,CAN,32.78248,109954.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2044,2,CAN,32.71914,109688.7,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2044,3,CAN,32.63512,109347.2,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2044,4,CAN,32.55979,109036.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2045,1,CAN,32.49235,108755.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2045,2,CAN,32.43212,108501.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2045,3,CAN,32.35521,108186.2,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2045,4,CAN,32.28613,107898.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2046,1,CAN,32.22413,107637.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2046,2,CAN,32.16756,107396,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2046,3,CAN,32.09665,107102,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2046,4,CAN,32.03159,106829.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2047,1,CAN,31.97243,106578,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2047,2,CAN,31.91608,106337.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2047,3,CAN,31.84395,106038.6,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2047,4,CAN,31.77671,105757.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2048,1,CAN,31.7152,105497.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2048,2,CAN,31.65711,105249.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2048,3,CAN,31.58554,104952.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2048,4,CAN,31.52187,104684.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2049,1,CAN,31.46567,104443.1,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2049,2,CAN,31.41282,104214.4,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2049,3,CAN,31.34969,103947.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2049,4,CAN,31.29406,103708.3,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2050,1,CAN,31.2449,103492.8,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2050,2,CAN,31.19915,103289.9,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2050,3,CAN,31.14704,103063.5,
04718605-5dfb-4247-8ae4-76c2379257e4-1746871838,2050,4,CAN,31.10105,102859,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2000,1,CAN,36.91962,126975.6,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2000,2,CAN,37.13189,127784.9,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2000,3,CAN,37.22245,128174.4,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2000,4,CAN,37.19133,128144,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2001,1,CAN,36.43015,125665.1,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2001,2,CAN,36.39897,125606.6,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2001,3,CAN,36.48944,125939.8,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2001,4,CAN,36.70156,126664.6,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2002,1,CAN,37.33741,128682.1,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2002,2,CAN,37.67199,129829.9,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2002,3,CAN,38.00739,131008.9,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2002,4,CAN,38.34361,132219.1,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2003,1,CAN,39.04259,134917,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2003,2,CAN,39.23565,135607.2,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2003,3,CAN,39.28476,135746,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2003,4,CAN,39.1899,135333.6,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2004,1,CAN,38.21479,131559.2,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2004,2,CAN,38.12652,131168.4,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2004,3,CAN,38.1888,131350.6,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2004,4,CAN,38.40164,132105.8,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2005,1,CAN,39.44974,136033.8,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2005,2,CAN,39.6898,136895,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2005,3,CAN,39.80653,137289.3,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2005,4,CAN,39.79992,137216.7,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2006,1,CAN,39.06281,134384.1,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2006,2,CAN,39.0524,134294.8,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2006,3,CAN,39.16153,134655.8,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2006,4,CAN,39.3902,135467,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2007,1,CAN,40.46266,139378.7,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2007,2,CAN,40.6407,140030.4,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2007,3,CAN,40.64857,140072.2,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2007,4,CAN,40.48628,139504.3,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2008,1,CAN,39.87106,137123.8,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2008,2,CAN,39.48155,135817.3,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2008,3,CAN,39.03497,134382,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2008,4,CAN,38.53133,132817.9,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2009,1,CAN,37.26708,129031.3,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2009,2,CAN,36.93075,128047.2,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2009,3,CAN,36.81878,127771.7,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2009,4,CAN,36.93117,128204.9,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2010,1,CAN,37.88686,131319.1,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2010,2,CAN,38.2004,132380.9,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2010,3,CAN,38.49073,133362.4,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2010,4,CAN,38.75784,134263.8,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2011,1,CAN,39.18767,135760.6,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2011,2,CAN,39.33397,136231.4,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2011,3,CAN,39.38269,136351.7,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2011,4,CAN,39.33382,136121.6,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2012,1,CAN,38.76613,133968.3,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2012,2,CAN,38.69057,133666.4,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2012,3,CAN,38.68591,133643.3,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2012,4,CAN,38.75215,133898.9,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2013,1,CAN,39.0967,135266,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2013,2,CAN,39.22178,135745.8,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2013,3,CAN,39.33478,136171.1,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2013,4,CAN,39.43573,136542,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2014,1,CAN,39.58541,137074,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2014,2,CAN,39.63791,137249.7,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2014,3,CAN,39.65401,137284.8,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2014,4,CAN,39.63373,137179.1,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2015,1,CAN,39.4636,136497.4,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2015,2,CAN,39.41592,136284.5,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2015,3,CAN,39.37724,136105.2,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2015,4,CAN,39.34756,135959.4,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2016,1,CAN,39.1532,135189.5,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2016,2,CAN,39.21099,135373.7,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2016,3,CAN,39.34725,135854.3,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2016,4,CAN,39.56198,136631.5,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2017,1,CAN,40.01475,138333,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2017,2,CAN,40.3226,139452,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2017,3,CAN,40.64509,140616.5,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2017,4,CAN,40.98223,141826.3,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2018,1,CAN,41.65855,144274,
064aa2fa-321e-451c-bb95-023a786e1f3d-1757326264,2018,2,CAN,41.89516,145097.6,
